Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
net.sf.xisemele.impl.AttributeImpl,3,6,4,5,4,5,4,10,8,313726,0.8,0.8,6,,,301275,273,301002,170703,0,2,14,6,13,40,50,1372856628284,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111100,0.11538461538461539,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.AttributeImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
net.sf.xisemele.impl.DateFormatter,0,0,0,4,4,4,4,4,4,711,1.0,1.0,3,,,3406,604,2802,1317,0,4,58,3,7,40,50,1372856933085,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.DateFormatter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.EditorImpl,0,0,0,22,22,22,22,22,22,8431,1.0,1.0,21,,,30699,1738,28961,9124,0,21,311,21,46,40,50,1372856939542,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111111111,0.37254901960784315,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.EditorImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.ElementImpl,3,6,0,19,16,1,1,22,1,49616,0.045454545454545456,0.045454545454545456,1,,,301071,69,301002,54434,0,1,3,1,2,40,50,1372856973989,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0000010000000000000000,0.011494252873563218,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ElementImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
net.sf.xisemele.impl.FactoryImpl,3,6,6,22,19,21,18,25,24,114875,0.96,0.96,13,,,301814,809,301005,65234,1,7,41,13,37,40,50,1372857278627,300,0,0,0,0,1935,0,0,61,0,0,0,0,0,0,0,0,0,3,1111111111111111101111111,0.5384615384615384,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.FactoryImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
net.sf.xisemele.impl.FormatterProviderImpl,0,0,0,3,3,3,3,3,3,6523,1.0,1.0,2,,,3388,120,3268,1446,0,1,8,2,6,40,50,1372857590849,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.FormatterProviderImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.MessageImpl,0,0,0,2,2,2,2,2,2,3040,1.0,1.0,1,,,2780,242,2538,1510,0,1,14,1,3,40,50,1372857597200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.MessageImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.NullErrorHandler,0,0,0,4,4,4,4,4,4,5291,1.0,1.0,3,,,2587,194,2393,1334,0,1,10,3,6,40,50,1372857603003,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.NullErrorHandler-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.NullValue,0,0,0,16,16,16,16,16,16,5397,1.0,1.0,16,,,12595,5239,7356,1415,1,2,49,16,33,40,50,1372857608483,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.NullValue-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.OperationsHelperImpl,13,26,11,5,1,5,1,27,12,78926,0.4444444444444444,0.4444444444444444,6,,,302382,1141,301241,30394,0,4,57,6,22,40,50,1372857624380,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111011100000000100011011100,0.26666666666666666,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.OperationsHelperImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
