Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
httpanalyzer.Base64Transformer,0,0,0,10,10,0,0,10,0,12797,0.0,0.0,0,,,301098,50,301048,31685,0,1,3,0,0,40,50,1372860502842,300,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,5,0000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.Base64Transformer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
httpanalyzer.CryptDesDialog,0,0,0,13,13,0,0,13,0,12433,0.0,0.0,0,,,301962,56,301906,31515,2,1,3,0,0,40,50,1372860822822,300,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,5,0000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.CryptDesDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
httpanalyzer.HeaderSettings,6,12,10,9,4,9,4,16,15,11373,0.9375,0.875,5,,,23178,1281,21897,4779,0,9,134,5,38,40,50,1372861147797,300,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111101011,0.38235294117647056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HeaderSettings-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
httpanalyzer.HttpAnalyzerAboutBox,0,0,0,3,3,0,0,3,0,7077,0.0,0.0,0,,,301900,42,301858,26264,1,1,2,0,0,40,50,1372861178005,300,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,5,000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HttpAnalyzerAboutBox-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
httpanalyzer.HttpAnalyzerApp,0,0,0,4,4,4,4,4,4,1899,1.0,1.0,3,,,42974,2589,40385,18607,0,6,168,3,5,40,50,1372861498758,300,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,5,1111,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HttpAnalyzerApp-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
httpanalyzer.HttpAnalyzerView,63,126,0,94,74,4,3,200,3,4126,0.015,0.015,1,,,302172,371,301801,44240,2,1,2,1,2,40,50,1372861563969,300,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,4,00000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HttpAnalyzerView-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
httpanalyzer.HttpFileUtils,16,32,0,10,3,1,1,35,1,21780,0.02857142857142857,0.02857142857142857,1,,,301263,193,301070,66304,1,5,19,1,1,40,50,1372861914231,300,0,0,0,0,2474,0,0,1,0,0,0,0,0,0,0,0,0,5,00000100000000000000000000000000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HttpFileUtils-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
httpanalyzer.HttpPreference,29,58,2,3,1,2,1,59,3,18683,0.05084745762711865,0.05084745762711865,2,,,301266,218,301048,55504,1,3,15,2,4,40,50,1372862237812,300,0,0,0,0,634,0,0,6,0,0,0,0,0,0,0,0,0,5,10000000000000000000000000000110000000000000000000000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.HttpPreference-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865
httpanalyzer.InitBasicParams,2,4,1,3,1,2,1,5,2,92993,0.4,0.4,1,,,301115,101,301014,127194,0,1,6,1,2,40,50,1372862560717,300,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,5,11000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.InitBasicParams-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
httpanalyzer.IntelSaveDialog,1,2,0,16,15,3,3,17,3,9374,0.17647058823529413,0.17647058823529413,3,,,301136,101,301035,23021,1,3,7,3,3,40,50,1372862881820,300,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,5,00000000011100000,0.025974025974025976,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.IntelSaveDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413
httpanalyzer.MD5Dialog,0,0,0,13,13,0,0,13,0,12300,0.0,0.0,0,,,301047,43,301004,32635,1,1,3,0,0,40,50,1372863200632,300,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,5,0000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.MD5Dialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
httpanalyzer.NotesDialog,0,0,0,6,6,0,0,6,0,11411,0.0,0.0,0,,,301283,35,301248,31754,0,1,3,0,0,40,50,1372863520844,300,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,5,000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.NotesDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
httpanalyzer.ParamsTools,2,4,4,2,1,2,1,5,5,1484,1.0,1.0,3,,,2175,314,1861,1141,0,2,22,3,3,40,50,1372863841572,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111,0.30303030303030304,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.ParamsTools-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
httpanalyzer.ParamsUrlTools,3,6,5,3,1,3,1,7,6,55505,0.8571428571428571,0.8571428571428571,3,,,301159,158,301001,84207,0,3,12,3,6,40,50,1372863847440,300,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,1111101,0.3557692307692308,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.ParamsUrlTools-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
httpanalyzer.Password,27,54,52,8,2,8,2,56,54,3397,0.9642857142857143,0.9642857142857143,4,,,310750,9395,301355,236971,0,6,59,4,4,40,50,1372864167214,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111111111111111011111111111111111011111111111111,0.37364620938628157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.Password-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
httpanalyzer.RequestParamsDialog,4,8,0,17,15,2,2,23,2,8912,0.08695652173913043,0.08695652173913043,2,,,301326,60,301266,23394,1,3,5,2,2,40,50,1372864740213,300,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,5,00000000001010000000000,0.025806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.RequestParamsDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
httpanalyzer.ScreenInputFilter,2,4,3,2,1,2,1,5,4,66926,0.8,0.8,2,,,302023,154,301869,14987,0,2,45,2,9,40,50,1372865062353,300,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,11011,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.ScreenInputFilter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
httpanalyzer.SwingTools,5,10,2,7,5,7,5,15,7,17065,0.4666666666666667,0.4666666666666667,5,,,301679,376,301303,51357,0,4,21,5,15,40,50,1372865368278,300,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,111111100000000,0.02112676056338028,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/32_httpanalyzer/evosuite-report/data/statistics_httpanalyzer.SwingTools-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
