Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
com.pmdesigns.jvc.BinaryResponseException,0,0,0,1,1,1,1,1,1,2436,1.0,1.0,1,,,18951,155,18796,1348,0,1,18,1,1,40,50,1372863436109,300,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.BinaryResponseException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.pmdesigns.jvc.JVCDispatcher,32,64,1,15,7,6,4,71,5,64977,0.07042253521126761,0.07042253521126761,4,,,301354,337,301017,55806,1,3,14,4,7,40,50,1372863458549,300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,11110000000000010000000000000000000000000000000000000000000000000000000,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.JVCDispatcher-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028169014086,0.08450704225352113,0.08450704225352113,0.08450704225352113,0.08450704225352113,0.07042253521126761,0.07042253521126761,0.07042253521126761,0.07042253521126761,0.07042253521126761
com.pmdesigns.jvc.JVCRequestContext,36,72,2,37,20,2,0,92,2,24154,0.021739130434782608,0.021739130434782608,2,,,301206,145,301061,22741,1,1,5,2,2,40,50,1372863766148,300,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.JVCRequestContext-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608
com.pmdesigns.jvc.Log,8,16,8,8,0,8,0,16,8,344083,0.5,0.5,8,,,301782,757,301025,73513,0,1,19,8,10,40,50,1372864072255,300,0,0,0,0,818,0,0,65,0,0,0,0,0,0,0,0,0,3,0101010101010101,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.Log-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
com.pmdesigns.jvc.NonStandardResponseException,0,0,0,1,1,1,1,1,1,2659,1.0,1.0,1,,,5158,39,5119,1189,0,1,3,1,1,40,50,1372864378481,300,0,0,0,0,54,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.NonStandardResponseException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.pmdesigns.jvc.tools.Base64Coder,26,52,42,6,4,6,4,56,46,453223,0.8214285714285714,0.8214285714285714,12,,,301449,447,301002,175227,1,10,32,12,23,40,50,1372864387098,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11110000000000111111111111111111111111111111111111111111,0.46380697050938335,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.tools.Base64Coder-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7678571428571429,0.7857142857142857,0.7857142857142857,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714
com.pmdesigns.jvc.tools.HtmlEncoder,10,20,18,2,1,2,1,21,19,497278,0.9047619047619048,0.9047619047619048,4,,,301202,203,300999,254822,0,1,7,4,4,40,50,1372864698357,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111011111111111101,0.6206896551724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.tools.HtmlEncoder-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
com.pmdesigns.jvc.tools.JVCBootstrapGenerator,12,24,11,5,2,5,2,26,13,213404,0.5,0.5,9,,,301498,480,301018,121821,0,4,25,9,16,40,50,1372865022560,300,0,0,0,0,14490,0,0,1589,0,0,0,0,0,0,0,0,0,3,11111111010000000000001111,0.33636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.tools.JVCBootstrapGenerator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
com.pmdesigns.jvc.tools.JVCGenerator,32,64,4,9,2,3,2,66,6,239526,0.09090909090909091,0.09090909090909091,5,,,301261,257,301004,188616,1,2,9,5,5,40,50,1372865330875,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110000000000000011110000000000000000000000000000000000000000000000,0.06906077348066299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.tools.JVCGenerator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
com.pmdesigns.jvc.tools.JVCParser,103,206,104,32,9,25,5,215,109,96947,0.5069767441860465,0.5069767441860465,16,,,307795,6794,301001,38137,3,11,216,16,74,40,50,1372865636599,300,0,0,0,0,31,0,0,4,0,0,0,0,0,0,0,0,0,3,01001110111101001011110000000111100000011111110010101010101100000000000000000000000000000001000010111101110000011101011011000100101111101110101010111010111010101010101111110110101010111010111010101010101110111111111,0.09639149777558081,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/33_javaviewcontrol/evosuite-report/data/statistics_com.pmdesigns.jvc.tools.JVCParser-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4121056924088019,0.4558139534883721,0.46511627906976744,0.4790697674418605,0.5026795434144603,0.5069767441860465,0.5069767441860465,0.5069767441860465,0.5069767441860465,0.5069767441860465
