Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
sbmlreader2.AddToClasspath,0,0,0,4,4,4,4,4,4,1233,1.0,1.0,2,,,5908,260,5648,1959,0,1,14,2,2,40,50,1372863524112,300,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,3,1111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.AddToClasspath-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sbmlreader2.SBMLFilter,4,8,6,3,2,3,2,10,8,232747,0.8,0.8,3,,,301179,175,301004,155056,0,1,6,3,6,40,50,1372863533980,300,0,0,0,0,3002,0,0,16031,0,3,0,0,0,0,0,0,0,3,1111111100,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLFilter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
sbmlreader2.SBMLGraphReader,18,36,8,6,2,5,2,38,10,89686,0.2631578947368421,0.2631578947368421,4,,,301797,488,301309,220137,0,4,25,4,16,40,50,1372863840146,300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,11011110000000000000000000000000001111,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLGraphReader-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23684210526315788,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
sbmlreader2.SBMLReaderPlugin2,0,0,0,3,3,0,0,3,0,560,0.0,0.0,0,,,301673,103,301570,249188,0,1,1,0,0,40,50,1372864455285,300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLReaderPlugin2-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
sbmlreader2.SBMLVisualStyleFactory,1,2,0,2,1,1,1,3,1,21637,0.3333333333333333,0.3333333333333333,1,,,301108,105,301003,254976,0,1,3,1,1,40,50,1372864761291,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLVisualStyleFactory-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
sbmlreader2.AddToClasspath,0,0,0,4,4,4,4,4,4,909,1.0,1.0,2,,,5314,561,4753,1673,0,1,29,2,2,40,50,1372867396219,300,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,3,1111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.AddToClasspath-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sbmlreader2.SBMLFilter,4,8,6,3,2,3,2,10,8,214760,0.8,0.8,3,,,301126,120,301006,166163,0,2,7,3,6,40,50,1372867404934,300,0,0,0,0,2737,0,0,14840,0,3,0,0,0,0,0,0,0,3,1111111100,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLFilter-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
sbmlreader2.SBMLGraphReader,18,36,8,6,2,5,2,38,10,98569,0.2631578947368421,0.2631578947368421,5,,,301636,632,301004,221802,0,5,29,5,17,40,50,1372867710743,300,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11011110000000000000000000000000001111,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLGraphReader-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23684210526315788,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
sbmlreader2.AddToClasspath,0,0,0,4,4,4,4,4,4,1126,1.0,1.0,2,,,5976,739,5237,1935,0,1,26,2,2,40,50,1372868048952,300,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,3,1111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.AddToClasspath-2.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sbmlreader2.SBMLFilter,4,8,6,3,2,3,2,10,8,295373,0.8,0.8,3,,,301150,153,300997,165115,1,1,6,3,6,40,50,1372868058431,300,0,0,0,0,2794,0,0,28404,0,2,0,0,0,0,0,0,0,3,1111111100,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/34_sbmlreader2/evosuite-report/data/statistics_sbmlreader2.SBMLFilter-2.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
