Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
org.apache.lucene.search.exposed.analysis.ConcatICUCollationAttributeFactory,1,2,1,3,2,3,2,4,3,5190,0.75,0.75,1,,,303857,2291,301566,274005,0,2,8,1,3,40,50,1372890126776,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1110,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_org.apache.lucene.search.exposed.analysis.ConcatICUCollationAttributeFactory-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
org.apache.lucene.search.exposed.facet.CollectorPool,29,58,10,20,12,6,3,70,13,718,0.18571428571428572,0.18571428571428572,3,,,580675,25115,555560,4989,0,5,136,3,6,40,50,1372890468693,300,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0100000010000000000000000000000000000000000000110001000011011101010100,0.02925531914893617,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_org.apache.lucene.search.exposed.facet.CollectorPool-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572
dk.statsbiblioteket.summa.control.server.shell.StatusCommand,5,10,0,4,3,1,1,13,1,20316,0.07692307692307693,0.07692307692307693,1,,,462927,66,462861,52665,0,1,5,1,1,40,50,1372891170674,300,0,0,0,0,25,0,0,2,0,2,0,0,0,0,0,0,0,4,0010000000000,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.server.shell.StatusCommand-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
dk.statsbiblioteket.summa.control.server.shell.ClientsCommand,12,24,0,2,1,1,1,25,1,14428,0.04,0.04,1,,,302078,122,301956,20406,0,1,5,1,1,40,50,1372892097359,300,0,0,0,0,19,0,0,0,0,95,0,0,0,0,0,0,0,6,1000000000000000000000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.server.shell.ClientsCommand-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
dk.statsbiblioteket.summa.control.server.shell.StatusCommand,5,10,0,4,3,1,1,13,1,14032,0.07692307692307693,0.07692307692307693,1,,,170759,150,170609,22613,0,1,8,1,1,40,50,1372892497053,300,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,5,0010000000000,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.server.shell.StatusCommand-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
dk.statsbiblioteket.summa.control.server.shell.StatusCommand,5,10,0,4,3,0,0,13,0,37665,0.0,0.0,0,,,301067,60,301007,69014,1,1,9,0,0,40,50,1372896948149,300,0,0,0,0,62,0,0,6,0,2,0,0,0,0,0,0,0,7,0000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.server.shell.StatusCommand-2.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
dk.statsbiblioteket.summa.control.server.shell.StatusCommand,5,10,0,4,3,1,1,13,1,103847,0.07692307692307693,0.07692307692307693,1,,,301102,79,301023,96193,0,1,5,1,1,40,50,1372897301610,300,0,0,0,0,120,0,0,10,0,1,0,0,0,0,0,0,0,5,0010000000000,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.server.shell.StatusCommand-3.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
dk.statsbiblioteket.summa.control.client.shell.StatusCommand,3,6,0,2,1,1,1,7,1,12787,0.14285714285714285,0.14285714285714285,1,,,141790,123,141667,22069,0,1,6,1,1,40,50,1372897655130,300,0,0,0,0,46,0,0,2,0,4,0,0,0,0,0,0,0,6,1000000,0.04878048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.client.shell.StatusCommand-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
dk.statsbiblioteket.summa.control.client.shell.SpecCommand,4,8,0,3,2,1,1,10,1,93568,0.1,0.1,1,,,301070,70,301000,84234,0,1,5,1,1,40,50,1372897841998,300,0,0,0,0,150,0,0,20,0,1,0,0,0,0,0,0,0,5,1000000000,0.03508771929824561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.client.shell.SpecCommand-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dk.statsbiblioteket.summa.control.client.shell.PingCommand,0,0,0,2,2,2,2,2,2,1665,1.0,1.0,1,,,23565,177,23388,7247,0,7,96,1,3,40,50,1372898437326,300,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,3,11,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/44_summa/evosuite-report/data/statistics_dk.statsbiblioteket.summa.control.client.shell.PingCommand-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
