GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,3,140,0,4,1,8,1,3,1,1
HumanEvalJava,original,GetPositive,3,30,1,5,1,8,2,3,1,1
HumanEvalJava,original,LargestPrimeFactor,3,22,1,3,1,7,2,2,1,1
HumanEvalJava,original,Tri,0,80,0,6,0,11,0,5,0,2
HumanEvalJava,original,SeparateParenGroups,0,55,0,8,0,15,0,6,0,2
HumanEvalJava,original,ProdSigns,0,57,1,9,0,16,1,6,0,2
HumanEvalJava,original,GenerateIntegers,0,37,0,4,0,8,0,4,0,2
HumanEvalJava,original,Modp,0,20,0,2,0,5,0,3,0,2
HumanEvalJava,original,AllPrefixes,14,12,1,1,2,3,2,1,1,1
HumanEvalJava,original,Unique,31,0,2,0,8,0,3,0,2,0
HumanEvalJava,original,SmallestChange,0,28,0,4,0,10,0,4,0,2
HumanEvalJava,original,StringXor,0,29,0,4,0,7,0,4,0,2
HumanEvalJava,original,EvenOddPalindrome,4,62,2,8,1,17,3,5,1,2
HumanEvalJava,original,Add1,0,36,0,6,0,6,0,5,0,2
HumanEvalJava,original,StringToMd5,6,37,0,4,2,10,0,4,0,2
HumanEvalJava,original,Add,7,0,0,0,2,0,2,0,2,0
HumanEvalJava,original,HowManyTimes,0,25,0,4,0,10,0,4,0,2
HumanEvalJava,original,SortThird,57,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,ParseMusic,0,59,1,9,0,12,1,6,0,2
HumanEvalJava,original,Factorize,0,30,0,4,0,7,0,4,0,2
HumanEvalJava,original,SortedListSum.new Comparator() {...},8,16,1,1,1,3,1,2,0,2
HumanEvalJava,original,CorrectBracketing1,19,14,6,2,6,3,5,1,1,1
HumanEvalJava,original,Skjkasdkd,64,0,14,0,17,0,10,0,3,0
HumanEvalJava,original,AntiShuffle,0,36,0,2,0,8,0,4,0,3
HumanEvalJava,original,ValidDate,33,57,19,11,9,11,16,1,1,1
HumanEvalJava,original,TriplesSumToZero,55,0,8,0,7,0,6,0,2,0
HumanEvalJava,original,Compare,0,33,0,2,0,5,0,3,0,2
HumanEvalJava,original,IncrList,0,33,0,4,0,8,0,4,0,2
HumanEvalJava,original,StringSequence,0,19,0,2,0,5,0,3,0,2
HumanEvalJava,original,TotalMatch,52,0,10,0,14,0,7,0,2,0
HumanEvalJava,original,HexKey,0,41,0,14,0,8,0,9,0,2
HumanEvalJava,original,SpecialFactorial,0,35,0,4,0,9,0,5,0,3
HumanEvalJava,original,RemoveDuplicates,0,34,0,4,0,6,0,4,0,2
HumanEvalJava,original,Multiply,0,21,0,4,0,4,0,4,0,2
HumanEvalJava,original,RollingMax,0,45,0,8,0,11,0,6,0,2
HumanEvalJava,original,Concatenate,0,22,0,2,0,6,0,3,0,2
HumanEvalJava,original,IsBored,0,63,1,9,0,15,1,6,0,2
HumanEvalJava,original,Solve,0,60,0,8,0,13,0,6,0,2
HumanEvalJava,original,Encrypt,8,34,3,5,2,8,4,2,1,1
HumanEvalJava,original,PairsSumToZero,0,39,0,6,0,6,0,5,0,2
HumanEvalJava,original,F,0,63,0,8,0,15,0,8,0,4
HumanEvalJava,original,AddElements,0,29,0,4,0,6,0,4,0,2
HumanEvalJava,original,TruncateNumber,0,17,0,0,0,2,0,2,0,2
HumanEvalJava,original,OrderByPoints.new Comparator() {...},0,54,0,8,0,13,0,7,0,3
HumanEvalJava,original,FixSpaces,3,81,1,11,1,20,1,7,0,2
HumanEvalJava,original,GreatestCommonDivisor,3,10,0,2,1,3,1,2,1,1
HumanEvalJava,original,NextSmallest,0,53,1,11,0,14,1,7,0,2
HumanEvalJava,original,Common.new Comparator() {...},2,17,2,2,1,3,2,2,0,2
HumanEvalJava,original,BelowThreshold,0,24,0,4,0,5,0,4,0,2
HumanEvalJava,original,DecimalToBinary,0,25,0,4,0,8,0,4,0,2
HumanEvalJava,original,Common,0,65,0,10,0,14,0,7,0,2
HumanEvalJava,original,IsPrime,0,26,0,6,0,7,0,5,0,2
HumanEvalJava,original,LargestDivisor,5,14,1,3,2,3,2,2,1,1
HumanEvalJava,original,FilterIntegers,0,26,0,4,0,7,0,4,0,2
HumanEvalJava,original,Simplify,0,41,0,2,0,8,0,3,0,2
HumanEvalJava,original,EvenOddCount,4,34,1,5,2,9,2,3,1,1
HumanEvalJava,original,PrimeLength,0,31,0,8,0,8,0,6,0,2
HumanEvalJava,original,Exchange,5,40,1,9,2,9,2,5,1,1
HumanEvalJava,original,CorrectBracketing,0,33,0,8,0,9,0,6,0,2
HumanEvalJava,original,ReverseDelete,66,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,LargestSmallestIntegers,0,68,0,14,0,19,0,9,0,2
HumanEvalJava,original,CountUpper,0,31,0,8,0,7,0,6,0,2
HumanEvalJava,original,IsPalindrome,0,29,0,4,0,9,0,4,0,2
HumanEvalJava,original,WordsString,0,17,0,2,0,5,0,3,0,2
HumanEvalJava,original,CountDistinctCharacters,0,26,0,2,0,5,0,3,0,2
HumanEvalJava,original,Histogram,0,109,1,13,0,19,1,8,0,2
HumanEvalJava,original,TriangleArea1,0,55,2,4,0,5,2,3,0,2
HumanEvalJava,original,StartsOneEnds,0,46,0,8,0,11,0,6,0,2
HumanEvalJava,original,Bf,0,95,1,9,0,20,1,6,0,2
HumanEvalJava,original,CheckIfLastCharIsALetter,0,45,0,8,0,12,0,6,0,2
HumanEvalJava,original,Specialfilter,0,80,0,8,0,10,0,6,0,2
HumanEvalJava,original,GetRow,43,17,5,1,8,4,4,1,1,1
HumanEvalJava,original,AnyInt,0,48,2,10,0,9,2,6,0,2
HumanEvalJava,original,Minpath,3,132,4,14,1,21,5,6,1,1
HumanEvalJava,original,SumSquares,0,28,0,2,0,6,0,3,0,2
HumanEvalJava,original,SameChars,0,61,0,8,0,11,0,6,0,2
HumanEvalJava,original,WillItFly,55,0,8,0,10,0,6,0,2,0
HumanEvalJava,original,Solve1,0,21,0,2,0,6,0,3,0,2
HumanEvalJava,original,RescaleToUnit,0,72,0,8,0,12,0,6,0,2
HumanEvalJava,original,Pluck,3,53,3,7,1,13,4,3,1,1
HumanEvalJava,original,FizzBuzz,4,35,1,9,2,7,2,5,1,1
HumanEvalJava,original,ChangeBase,0,20,0,2,0,6,0,3,0,2
HumanEvalJava,original,Maximum1,0,90,2,12,0,19,2,7,0,2
HumanEvalJava,original,RightAngleTriangle,17,58,8,12,1,7,7,5,0,2
HumanEvalJava,original,SortedListSum,0,36,0,4,0,7,0,4,0,2
HumanEvalJava,original,RoundedAvg,0,42,0,4,0,9,0,4,0,2
HumanEvalJava,original,Monotonic,3,84,1,11,1,13,1,7,0,2
HumanEvalJava,original,Digitsum,0,29,0,6,0,7,0,5,0,2
HumanEvalJava,original,IsMultiplyPrime,4,26,1,5,1,7,2,3,1,1
HumanEvalJava,original,FilterBySubstring,0,30,0,4,0,6,0,4,0,2
HumanEvalJava,original,XOrY,0,23,0,6,0,7,0,5,0,2
HumanEvalJava,original,Strlen,0,6,0,0,0,2,0,2,0,2
HumanEvalJava,original,GetOddCollatz,0,45,0,6,0,11,0,5,0,2
HumanEvalJava,original,SortEven,0,57,0,8,0,11,0,6,0,2
HumanEvalJava,original,RemoveVowels,0,53,7,15,0,7,7,6,0,2
HumanEvalJava,original,ParseNestedParens,0,47,0,8,0,14,0,6,0,2
HumanEvalJava,original,SumProduct,0,58,0,4,0,13,0,4,0,2
