GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,3,140,0,4,1,8,1,3,1,1
HumanEvalJava,original,GetPositive,3,30,1,5,1,8,2,3,1,1
HumanEvalJava,original,LargestPrimeFactor,3,22,1,3,1,7,2,2,1,1
HumanEvalJava,original,Tri,69,11,5,1,9,2,4,1,1,1
HumanEvalJava,original,SeparateParenGroups,3,52,0,8,1,14,1,5,1,1
HumanEvalJava,original,ProdSigns,52,5,9,1,14,2,6,1,1,1
HumanEvalJava,original,GenerateIntegers,3,34,0,4,1,7,1,3,1,1
HumanEvalJava,original,Modp,3,17,0,2,1,4,1,2,1,1
HumanEvalJava,original,AllPrefixes,14,12,1,1,2,3,2,1,1,1
HumanEvalJava,original,Unique,31,0,2,0,8,0,3,0,2,0
HumanEvalJava,original,SmallestChange,4,24,1,3,2,8,2,2,1,1
HumanEvalJava,original,StringXor,3,26,0,4,1,6,1,3,1,1
HumanEvalJava,original,EvenOddPalindrome,4,62,2,8,1,17,3,5,1,2
HumanEvalJava,original,Add1,3,33,1,5,1,5,2,3,1,1
HumanEvalJava,original,StringToMd5,37,6,3,1,10,2,3,1,1,1
HumanEvalJava,original,Add,7,0,0,0,2,0,2,0,2,0
HumanEvalJava,original,HowManyTimes,15,10,3,1,6,4,3,1,1,1
HumanEvalJava,original,SortThird,57,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,ParseMusic,28,31,6,4,6,6,5,2,1,1
HumanEvalJava,original,Factorize,3,27,0,4,1,6,1,3,1,1
HumanEvalJava,original,SortedListSum.new Comparator() {...},21,3,2,0,3,1,2,1,1,1
HumanEvalJava,original,CorrectBracketing1,19,14,6,2,6,3,5,1,1,1
HumanEvalJava,original,Skjkasdkd,64,0,14,0,17,0,10,0,3,0
HumanEvalJava,original,AntiShuffle,3,33,0,2,1,7,1,3,1,2
HumanEvalJava,original,ValidDate,33,57,19,11,9,11,16,1,1,1
HumanEvalJava,original,TriplesSumToZero,55,0,8,0,7,0,6,0,2,0
HumanEvalJava,original,Compare,3,30,0,2,1,4,1,2,1,1
HumanEvalJava,original,IncrList,21,12,3,1,5,3,3,1,1,1
HumanEvalJava,original,StringSequence,3,16,0,2,1,4,1,2,1,1
HumanEvalJava,original,TotalMatch,52,0,10,0,14,0,7,0,2,0
HumanEvalJava,original,HexKey,3,38,5,9,1,7,6,3,1,1
HumanEvalJava,original,SpecialFactorial,3,32,0,4,1,8,1,4,1,2
HumanEvalJava,original,RemoveDuplicates,3,31,1,3,1,5,2,2,1,1
HumanEvalJava,original,Multiply,9,12,2,2,1,3,3,1,1,1
HumanEvalJava,original,RollingMax,8,37,2,6,2,9,3,3,1,1
HumanEvalJava,original,Concatenate,12,10,1,1,3,3,2,1,1,1
HumanEvalJava,original,IsBored,3,60,2,8,1,14,3,4,1,1
HumanEvalJava,original,Solve,10,50,1,7,2,11,2,4,1,1
HumanEvalJava,original,Encrypt,8,34,3,5,2,8,4,2,1,1
HumanEvalJava,original,PairsSumToZero,30,9,5,1,4,2,4,1,1,1
HumanEvalJava,original,F,3,60,0,8,1,14,1,7,1,3
HumanEvalJava,original,AddElements,3,26,0,4,1,5,1,3,1,1
HumanEvalJava,original,TruncateNumber,3,14,0,0,1,1,1,1,1,1
HumanEvalJava,original,OrderByPoints.new Comparator() {...},51,3,8,0,12,1,6,1,2,1
HumanEvalJava,original,FixSpaces,22,62,3,9,4,17,4,4,1,1
HumanEvalJava,original,GreatestCommonDivisor,3,10,0,2,1,3,1,2,1,1
HumanEvalJava,original,NextSmallest,10,43,4,8,4,10,5,3,1,1
HumanEvalJava,original,Common.new Comparator() {...},16,3,4,0,3,1,3,1,1,1
HumanEvalJava,original,BelowThreshold,6,18,1,3,2,3,2,2,1,1
HumanEvalJava,original,DecimalToBinary,5,20,1,3,2,6,2,2,1,1
HumanEvalJava,original,Common,29,36,7,3,6,8,5,2,1,1
HumanEvalJava,original,IsPrime,20,6,5,1,5,2,4,1,1,1
HumanEvalJava,original,LargestDivisor,5,14,1,3,2,3,2,2,1,1
HumanEvalJava,original,FilterIntegers,3,23,0,4,1,6,1,3,1,1
HumanEvalJava,original,Simplify,6,35,1,1,2,6,2,1,1,1
HumanEvalJava,original,EvenOddCount,4,34,1,5,2,9,2,3,1,1
HumanEvalJava,original,PrimeLength,23,8,7,1,5,3,5,1,1,1
HumanEvalJava,original,Exchange,5,40,1,9,2,9,2,5,1,1
HumanEvalJava,original,CorrectBracketing,8,25,2,6,2,7,3,3,1,1
HumanEvalJava,original,ReverseDelete,66,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,LargestSmallestIntegers,19,49,6,8,5,14,6,3,1,1
HumanEvalJava,original,CountUpper,3,28,0,8,1,6,1,5,1,1
HumanEvalJava,original,IsPalindrome,16,13,3,1,5,4,3,1,1,1
HumanEvalJava,original,WordsString,10,7,1,1,3,2,2,1,1,1
HumanEvalJava,original,CountDistinctCharacters,3,23,0,2,1,4,1,2,1,1
HumanEvalJava,original,Histogram,5,104,3,11,2,17,4,5,1,1
HumanEvalJava,original,TriangleArea1,6,49,3,3,2,3,4,1,1,1
HumanEvalJava,original,StartsOneEnds,3,43,0,8,1,10,1,5,1,1
HumanEvalJava,original,Bf,18,77,5,5,3,17,5,2,1,1
HumanEvalJava,original,CheckIfLastCharIsALetter,39,6,7,1,10,2,5,1,1,1
HumanEvalJava,original,Specialfilter,3,77,1,7,1,9,2,4,1,1
HumanEvalJava,original,GetRow,43,17,5,1,8,4,4,1,1,1
HumanEvalJava,original,AnyInt,12,36,6,6,4,5,7,1,1,1
HumanEvalJava,original,Minpath,3,132,4,14,1,21,5,6,1,1
HumanEvalJava,original,SumSquares,3,25,0,2,1,5,1,2,1,1
HumanEvalJava,original,SameChars,6,55,1,7,2,9,2,4,1,1
HumanEvalJava,original,WillItFly,55,0,8,0,10,0,6,0,2,0
HumanEvalJava,original,Solve1,3,18,0,2,1,5,1,2,1,1
HumanEvalJava,original,RescaleToUnit,3,69,1,7,1,11,2,4,1,1
HumanEvalJava,original,Pluck,3,53,3,7,1,13,4,3,1,1
HumanEvalJava,original,FizzBuzz,4,35,1,9,2,7,2,5,1,1
HumanEvalJava,original,ChangeBase,3,17,0,2,1,5,1,2,1,1
HumanEvalJava,original,Maximum1,14,76,4,10,4,15,5,4,1,1
HumanEvalJava,original,RightAngleTriangle,42,33,13,7,4,4,11,1,1,1
HumanEvalJava,original,SortedListSum,3,33,0,4,1,6,1,3,1,1
HumanEvalJava,original,RoundedAvg,36,6,3,1,7,2,3,1,1,1
HumanEvalJava,original,Monotonic,40,47,6,6,6,8,6,2,1,1
HumanEvalJava,original,Digitsum,3,26,2,4,1,6,3,2,1,1
HumanEvalJava,original,IsMultiplyPrime,4,26,1,5,1,7,2,3,1,1
HumanEvalJava,original,FilterBySubstring,3,27,0,4,1,5,1,3,1,1
HumanEvalJava,original,XOrY,7,16,2,4,3,4,3,2,1,1
HumanEvalJava,original,Strlen,3,3,0,0,1,1,1,1,1,1
HumanEvalJava,original,GetOddCollatz,3,42,0,6,1,10,1,4,1,1
HumanEvalJava,original,SortEven,3,54,0,8,1,10,1,5,1,1
HumanEvalJava,original,RemoveVowels,3,50,8,14,1,6,9,4,1,1
HumanEvalJava,original,ParseNestedParens,3,44,1,7,1,13,2,4,1,1
HumanEvalJava,original,SumProduct,8,50,1,3,2,11,2,2,1,1
