GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,3,140,0,4,1,8,1,3,1,1
HumanEvalJava,original,GetPositive,3,30,1,5,1,8,2,3,1,1
HumanEvalJava,original,LargestPrimeFactor,3,22,1,3,1,7,2,2,1,1
HumanEvalJava,original,Tri,3,77,0,6,1,10,1,4,1,1
HumanEvalJava,original,SeparateParenGroups,3,52,0,8,1,14,1,5,1,1
HumanEvalJava,original,ProdSigns,57,0,10,0,16,0,7,0,2,0
HumanEvalJava,original,GenerateIntegers,37,0,4,0,8,0,4,0,2,0
HumanEvalJava,original,Modp,11,9,1,1,2,3,2,1,1,1
HumanEvalJava,original,AllPrefixes,26,0,2,0,5,0,3,0,2,0
HumanEvalJava,original,Unique,31,0,2,0,8,0,3,0,2,0
HumanEvalJava,original,SmallestChange,0,28,0,4,0,10,0,4,0,2
HumanEvalJava,original,StringXor,29,0,4,0,7,0,4,0,2,0
HumanEvalJava,original,EvenOddPalindrome,66,0,10,0,18,0,8,0,3,0
HumanEvalJava,original,Add1,3,33,0,6,1,5,1,4,1,1
HumanEvalJava,original,StringToMd5,37,6,3,1,10,2,3,1,1,1
HumanEvalJava,original,Add,3,4,0,0,1,1,1,1,1,1
HumanEvalJava,original,HowManyTimes,4,21,1,3,2,8,2,2,1,1
HumanEvalJava,original,SortThird,57,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,ParseMusic,59,0,10,0,12,0,7,0,2,0
HumanEvalJava,original,Factorize,3,27,0,4,1,6,1,3,1,1
HumanEvalJava,original,SortedListSum.new Comparator() {...},21,3,2,0,3,1,2,1,1,1
HumanEvalJava,original,CorrectBracketing1,19,14,6,2,6,3,5,1,1,1
HumanEvalJava,original,Skjkasdkd,3,61,0,14,1,16,1,9,1,2
HumanEvalJava,original,AntiShuffle,3,33,0,2,1,7,1,3,1,2
HumanEvalJava,original,ValidDate,83,7,29,1,18,2,16,1,1,1
HumanEvalJava,original,TriplesSumToZero,26,29,3,5,3,4,3,3,1,1
HumanEvalJava,original,Compare,3,30,0,2,1,4,1,2,1,1
HumanEvalJava,original,IncrList,33,0,4,0,8,0,4,0,2,0
HumanEvalJava,original,StringSequence,3,16,0,2,1,4,1,2,1,1
HumanEvalJava,original,TotalMatch,52,0,10,0,14,0,7,0,2,0
HumanEvalJava,original,HexKey,3,38,0,14,1,7,1,8,1,1
HumanEvalJava,original,SpecialFactorial,0,35,0,4,0,9,0,5,0,3
HumanEvalJava,original,RemoveDuplicates,3,31,0,4,1,5,1,3,1,1
HumanEvalJava,original,Multiply,9,12,2,2,1,3,3,1,1,1
HumanEvalJava,original,RollingMax,31,14,7,1,7,4,5,1,1,1
HumanEvalJava,original,Concatenate,12,10,1,1,3,3,2,1,1,1
HumanEvalJava,original,IsBored,6,57,4,6,2,13,5,2,1,1
HumanEvalJava,original,Solve,24,36,3,5,4,9,4,2,1,1
HumanEvalJava,original,Encrypt,8,34,3,5,2,8,4,2,1,1
HumanEvalJava,original,PairsSumToZero,39,0,6,0,6,0,5,0,2,0
HumanEvalJava,original,F,63,0,8,0,15,0,8,0,4,0
HumanEvalJava,original,AddElements,3,26,0,4,1,5,1,3,1,1
HumanEvalJava,original,TruncateNumber,3,14,0,0,1,1,1,1,1,1
HumanEvalJava,original,OrderByPoints.new Comparator() {...},51,3,8,0,12,1,6,1,2,1
HumanEvalJava,original,FixSpaces,3,81,0,12,1,20,1,7,1,1
HumanEvalJava,original,GreatestCommonDivisor,3,10,0,2,1,3,1,2,1,1
HumanEvalJava,original,NextSmallest,10,43,4,8,4,10,5,3,1,1
HumanEvalJava,original,Common.new Comparator() {...},19,0,4,0,4,0,4,0,2,0
HumanEvalJava,original,BelowThreshold,24,0,4,0,5,0,4,0,2,0
HumanEvalJava,original,DecimalToBinary,3,22,0,4,1,7,1,3,1,1
HumanEvalJava,original,Common,65,0,10,0,14,0,7,0,2,0
HumanEvalJava,original,IsPrime,3,23,0,6,1,6,1,4,1,1
HumanEvalJava,original,LargestDivisor,5,14,1,3,2,3,2,2,1,1
HumanEvalJava,original,FilterIntegers,3,23,0,4,1,6,1,3,1,1
HumanEvalJava,original,Simplify,0,41,0,2,0,8,0,3,0,2
HumanEvalJava,original,EvenOddCount,15,23,4,2,5,6,4,1,1,1
HumanEvalJava,original,PrimeLength,15,16,5,3,4,4,5,1,1,1
HumanEvalJava,original,Exchange,5,40,2,8,2,9,3,4,1,1
HumanEvalJava,original,CorrectBracketing,7,26,2,6,2,7,3,3,1,1
HumanEvalJava,original,ReverseDelete,3,63,0,8,1,10,1,5,1,1
HumanEvalJava,original,LargestSmallestIntegers,3,65,1,13,1,18,2,7,1,1
HumanEvalJava,original,CountUpper,3,28,0,8,1,6,1,5,1,1
HumanEvalJava,original,IsPalindrome,16,13,3,1,5,4,3,1,1,1
HumanEvalJava,original,WordsString,4,13,1,1,1,4,1,2,0,2
HumanEvalJava,original,CountDistinctCharacters,0,26,0,2,0,5,0,3,0,2
HumanEvalJava,original,Histogram,98,11,12,2,16,3,8,1,1,1
HumanEvalJava,original,TriangleArea1,47,8,5,1,3,2,4,1,1,1
HumanEvalJava,original,StartsOneEnds,13,33,2,6,3,8,3,3,1,1
HumanEvalJava,original,Bf,18,77,5,5,3,17,5,2,1,1
HumanEvalJava,original,CheckIfLastCharIsALetter,25,20,5,3,7,5,5,1,1,1
HumanEvalJava,original,Specialfilter,3,77,0,8,1,9,1,5,1,1
HumanEvalJava,original,GetRow,3,57,0,6,1,11,1,4,1,1
HumanEvalJava,original,AnyInt,3,45,2,10,1,8,3,5,1,1
HumanEvalJava,original,Minpath,0,135,4,14,0,22,4,7,0,2
HumanEvalJava,original,SumSquares,0,28,0,2,0,6,0,3,0,2
HumanEvalJava,original,SameChars,61,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,WillItFly,3,52,0,8,1,9,1,5,1,1
HumanEvalJava,original,Solve1,3,18,0,2,1,5,1,2,1,1
HumanEvalJava,original,RescaleToUnit,3,69,1,7,1,11,2,4,1,1
HumanEvalJava,original,Pluck,3,53,2,8,1,13,3,4,1,1
HumanEvalJava,original,FizzBuzz,3,36,0,10,1,8,1,6,1,1
HumanEvalJava,original,ChangeBase,3,17,0,2,1,5,1,2,1,1
HumanEvalJava,original,Maximum1,73,17,11,3,14,5,8,1,1,1
HumanEvalJava,original,RightAngleTriangle,75,0,20,0,8,0,12,0,2,0
HumanEvalJava,original,SortedListSum,3,33,0,4,1,6,1,3,1,1
HumanEvalJava,original,RoundedAvg,36,6,3,1,7,2,3,1,1,1
HumanEvalJava,original,Monotonic,40,47,6,6,6,8,6,2,1,1
HumanEvalJava,original,Digitsum,3,26,2,4,1,6,3,2,1,1
HumanEvalJava,original,IsMultiplyPrime,4,26,1,5,1,7,2,3,1,1
HumanEvalJava,original,FilterBySubstring,3,27,0,4,1,5,1,3,1,1
HumanEvalJava,original,XOrY,0,23,0,6,0,7,0,5,0,2
HumanEvalJava,original,Strlen,6,0,0,0,2,0,2,0,2,0
HumanEvalJava,original,GetOddCollatz,45,0,6,0,11,0,5,0,2,0
HumanEvalJava,original,SortEven,3,54,0,8,1,10,1,5,1,1
HumanEvalJava,original,RemoveVowels,3,50,8,14,1,6,9,4,1,1
HumanEvalJava,original,ParseNestedParens,3,44,0,8,1,13,1,5,1,1
HumanEvalJava,original,SumProduct,8,50,1,3,2,11,2,2,1,1
