GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,0,143,0,4,0,9,0,4,0,2
HumanEvalJava,original,GetPositive,0,33,0,6,0,9,0,5,0,2
HumanEvalJava,original,LargestPrimeFactor,0,25,0,4,0,8,0,4,0,2
HumanEvalJava,original,Tri,3,77,0,6,1,10,1,4,1,1
HumanEvalJava,original,SeparateParenGroups,0,55,0,8,0,15,0,6,0,2
HumanEvalJava,original,ProdSigns,0,57,0,10,0,16,0,7,0,2
HumanEvalJava,original,GenerateIntegers,0,37,0,4,0,8,0,4,0,2
HumanEvalJava,original,Modp,0,20,0,2,0,5,0,3,0,2
HumanEvalJava,original,AllPrefixes,0,26,0,2,0,5,0,3,0,2
HumanEvalJava,original,Unique,0,31,0,2,0,8,0,3,0,2
HumanEvalJava,original,SmallestChange,3,25,0,4,1,9,1,3,1,1
HumanEvalJava,original,StringXor,3,26,0,4,1,6,1,3,1,1
HumanEvalJava,original,EvenOddPalindrome,0,66,0,10,0,18,0,8,0,3
HumanEvalJava,original,Add1,3,33,0,6,1,5,1,4,1,1
HumanEvalJava,original,StringToMd5,6,37,0,4,2,10,0,4,0,2
HumanEvalJava,original,Add,3,4,0,0,1,1,1,1,1,1
HumanEvalJava,original,HowManyTimes,0,25,0,4,0,10,0,4,0,2
HumanEvalJava,original,SortThird,0,57,0,8,0,11,0,6,0,2
HumanEvalJava,original,ParseMusic,0,59,0,10,0,12,0,7,0,2
HumanEvalJava,original,Factorize,0,30,0,4,0,7,0,4,0,2
HumanEvalJava,original,SortedListSum.new Comparator() {...},21,3,2,0,3,1,2,1,1,1
HumanEvalJava,original,CorrectBracketing1,0,33,0,8,0,9,0,6,0,2
HumanEvalJava,original,Skjkasdkd,0,64,0,14,0,17,0,10,0,3
HumanEvalJava,original,AntiShuffle,0,36,0,2,0,8,0,4,0,3
HumanEvalJava,original,ValidDate,3,87,5,25,1,19,5,12,0,2
HumanEvalJava,original,TriplesSumToZero,2,53,1,7,0,7,1,5,0,2
