GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,143,0,4,0,9,0,4,0,2,0
HumanEvalJava,original,GetPositive,33,0,6,0,9,0,5,0,2,0
HumanEvalJava,original,LargestPrimeFactor,25,0,4,0,8,0,4,0,2,0
HumanEvalJava,original,Tri,80,0,6,0,11,0,5,0,2,0
HumanEvalJava,original,SeparateParenGroups,55,0,8,0,15,0,6,0,2,0
HumanEvalJava,original,ProdSigns,57,0,10,0,16,0,7,0,2,0
HumanEvalJava,original,GenerateIntegers,37,0,4,0,8,0,4,0,2,0
HumanEvalJava,original,Modp,20,0,2,0,5,0,3,0,2,0
HumanEvalJava,original,AllPrefixes,26,0,2,0,5,0,3,0,2,0
HumanEvalJava,original,Unique,31,0,2,0,8,0,3,0,2,0
HumanEvalJava,original,SmallestChange,28,0,4,0,10,0,4,0,2,0
HumanEvalJava,original,StringXor,29,0,4,0,7,0,4,0,2,0
HumanEvalJava,original,EvenOddPalindrome,66,0,10,0,18,0,8,0,3,0
HumanEvalJava,original,Add1,36,0,6,0,6,0,5,0,2,0
HumanEvalJava,original,StringToMd5,43,0,4,0,12,0,4,0,2,0
HumanEvalJava,original,Add,7,0,0,0,2,0,2,0,2,0
HumanEvalJava,original,HowManyTimes,25,0,4,0,10,0,4,0,2,0
HumanEvalJava,original,SortThird,57,0,8,0,11,0,6,0,2,0
HumanEvalJava,original,ParseMusic,59,0,10,0,12,0,7,0,2,0
HumanEvalJava,original,Factorize,30,0,4,0,7,0,4,0,2,0
HumanEvalJava,original,SortedListSum.new Comparator() {...},24,0,2,0,4,0,3,0,2,0
HumanEvalJava,original,CorrectBracketing1,33,0,8,0,9,0,6,0,2,0
HumanEvalJava,original,Skjkasdkd,64,0,14,0,17,0,10,0,3,0
HumanEvalJava,original,AntiShuffle,36,0,2,0,8,0,4,0,3,0
HumanEvalJava,original,ValidDate,90,0,30,0,20,0,17,0,2,0
HumanEvalJava,original,TriplesSumToZero,55,0,8,0,7,0,6,0,2,0
HumanEvalJava,original,Compare,33,0,2,0,5,0,3,0,2,0
HumanEvalJava,original,IncrList,33,0,4,0,8,0,4,0,2,0
HumanEvalJava,original,StringSequence,19,0,2,0,5,0,3,0,2,0
HumanEvalJava,original,TotalMatch,52,0,10,0,14,0,7,0,2,0
HumanEvalJava,original,HexKey,41,0,14,0,8,0,9,0,2,0
HumanEvalJava,original,SpecialFactorial,35,0,4,0,9,0,5,0,3,0
HumanEvalJava,original,RemoveDuplicates,34,0,4,0,6,0,4,0,2,0
HumanEvalJava,original,Multiply,21,0,4,0,4,0,4,0,2,0
HumanEvalJava,original,RollingMax,45,0,8,0,11,0,6,0,2,0
