GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,0,101,0,20,0,18,0,13,0,3
leetcode,original,Solution1899,2,81,5,9,0,10,5,4,0,2
leetcode,original,Solution2744,0,66,0,2,0,8,0,3,0,2
leetcode,original,Solution3317,0,104,0,6,0,12,0,5,0,2
leetcode,original,Solution1897,4,71,2,6,1,9,2,4,0,2
leetcode,original,Solution2503,0,237,0,20,0,28,0,14,0,4
leetcode,original,Solution0684,0,79,0,6,0,14,0,6,0,3
leetcode,original,Solution1895,16,264,8,20,5,28,8,9,0,3
leetcode,original,Solution0321,0,200,0,26,0,40,0,18,0,5
leetcode,original,Solution2864,0,25,0,0,0,3,0,2,0,2
leetcode,original,Solution2862,0,86,0,6,0,17,0,5,0,2
leetcode,original,Solution0283,0,35,0,4,0,8,0,4,0,2
leetcode,original,Solution3398,5,126,2,16,1,25,2,10,0,3
leetcode,original,Solution3154,0,98,0,10,0,15,0,8,0,3
leetcode,original,Solution3274,1,28,1,1,0,4,1,2,0,2
leetcode,original,Bitset,62,46,7,1,13,12,9,3,5,3
leetcode,original,Solution2617,29,292,6,28,1,24,5,16,0,4
leetcode,original,Solution3209,0,85,0,4,0,13,0,4,0,2
leetcode,original,Solution2912,22,144,4,4,1,14,3,3,0,2
leetcode,original,Solution2513,0,115,2,8,0,15,2,7,0,4
leetcode,original,Solution2115,0,145,0,14,0,22,0,10,0,3
leetcode,original,Solution1422,0,60,0,6,0,12,0,5,0,2
leetcode,original,Solution2357,0,39,1,3,0,9,1,3,0,2
leetcode,original,Solution3287,0,202,0,26,0,27,0,15,0,2
leetcode,original,Solution1021,0,43,0,8,0,11,0,6,0,2
leetcode,original,Solution2470,0,63,0,8,0,14,0,8,0,4
leetcode,original,NeighborSum,5,179,4,10,1,17,5,6,1,3
leetcode,original,Solution2907,77,0,14,0,14,0,9,0,2,0
leetcode,original,Solution2869,53,0,6,0,11,0,5,0,2,0
leetcode,original,MyCircularDeque,111,43,14,4,24,11,14,4,5,4
leetcode,original,Solution1316,0,148,0,8,0,20,0,7,0,3
leetcode,original,Solution1954,5,25,1,1,1,4,1,2,0,2
leetcode,original,Solution1955,1,193,1,7,0,18,1,5,0,2
leetcode,original,Solution1317,2,26,1,1,0,5,1,2,0,2
leetcode,original,Solution3219,68,0,10,0,13,0,7,0,2,0
leetcode,original,Solution1952,1,23,1,5,0,6,1,4,0,2
leetcode,original,Solution2404,6,70,5,7,0,13,3,5,0,2
leetcode,original,Solution0744,1,25,1,1,0,4,1,2,0,2
leetcode,original,Solution1436,0,43,0,4,0,9,0,4,0,2
leetcode,original,Solution2402,52,131,5,11,5,20,5,7,1,3
leetcode,original,Solution1035,0,85,0,6,0,9,0,5,0,2
leetcode,original,Solution1154,1,105,3,5,0,10,3,3,0,2
leetcode,original,Solution2243,0,55,0,6,0,12,0,5,0,2
leetcode,original,Solution0582,0,76,0,4,0,13,0,6,0,4
leetcode,original,Solution1392,2,111,1,5,1,13,1,5,0,3
leetcode,original,Solution1272,17,85,4,6,1,11,4,3,0,2
leetcode,original,Solution3171,0,133,0,18,0,21,0,11,0,2
leetcode,original,Solution0739,0,56,0,8,0,11,0,6,0,2
leetcode,original,Solution1307,10,271,11,35,2,38,10,16,0,3
leetcode,original,Solution0479,5,63,1,7,1,11,1,5,0,2
leetcode,original,ATM,7,119,1,7,1,16,1,6,0,3
leetcode,original,Solution1207,1,43,1,3,0,5,1,3,0,2
leetcode,original,Solution1449,2,162,1,15,1,23,1,9,0,2
leetcode,original,Solution2538,0,148,0,6,0,20,0,7,0,4
leetcode,original,Solution1446,0,34,0,4,0,7,0,4,0,2
leetcode,original,Solution0475,0,65,0,8,0,11,0,6,0,2
leetcode,original,Solution2259,0,41,1,5,0,9,1,4,0,2
leetcode,original,Solution1962,0,68,0,6,0,12,0,6,0,3
leetcode,original,Solution0598,0,35,0,2,0,5,0,3,0,2
leetcode,original,Solution3467,6,48,1,5,1,8,1,4,0,2
leetcode,original,Solution3069,8,65,1,5,1,13,1,4,0,2
leetcode,original,Solution3222,2,30,2,2,0,5,2,2,0,2
leetcode,original,Solution0231,1,14,2,2,0,2,2,2,0,2
leetcode,original,Solution0593,3,138,11,15,1,14,11,5,0,3
leetcode,original,Solution3341,1,204,3,17,1,24,3,10,0,3
leetcode,original,Solution1040,2,104,2,6,1,11,2,4,0,2
leetcode,original,Solution1283,0,57,0,6,0,12,0,5,0,2
leetcode,original,Solution2093,3,238,2,14,2,26,2,9,0,3
leetcode,original,Solution2928,55,10,5,1,7,3,4,2,1,2
leetcode,original,Solution1958,86,0,24,0,15,0,14,0,2,0
leetcode,original,Solution2409,2,118,2,4,0,12,2,4,0,3
leetcode,original,Solution0748,0,105,1,17,0,21,1,10,0,2
leetcode,original,Solution2529,0,34,1,5,0,8,1,4,0,2
leetcode,original,Solution0005,0,105,1,11,0,15,1,7,0,2
leetcode,original,Solution2549,0,9,0,0,0,2,0,2,0,2
leetcode,original,Solution1851,168,0,14,0,22,0,12,0,5,0
leetcode,original,Solution2268,0,55,0,6,0,11,0,5,0,2
leetcode,original,Solution3235,209,138,46,14,21,16,30,6,2,4
leetcode,original,Solution2024,0,71,0,8,0,10,0,7,0,3
leetcode,original,Solution2387,0,102,0,10,0,23,0,8,0,3
leetcode,original,Solution0121,0,37,0,2,0,6,0,3,0,2
leetcode,original,Solution2141,0,82,0,8,0,14,0,6,0,2
leetcode,original,Solution3194,0,38,0,2,0,7,0,3,0,2
leetcode,original,Solution3070,0,85,0,6,0,10,0,5,0,2
leetcode,original,Solution1728,1,620,1,63,0,81,1,37,0,6
leetcode,original,Solution0914,1,75,1,7,0,10,1,6,0,3
leetcode,original,Solution1967,0,28,1,3,0,6,1,3,0,2
leetcode,original,Solution1846,0,48,0,2,0,9,0,3,0,2
leetcode,original,Solution0517,41,34,3,3,8,7,2,3,0,2
leetcode,original,Solution0017,105,12,7,1,11,4,4,2,0,2
leetcode,original,Solution2557,1,144,1,9,1,22,1,6,0,2
leetcode,original,Solution2954,17,188,2,16,1,28,2,11,0,4
leetcode,original,Solution1345,9,150,2,16,2,22,2,10,0,3
leetcode,original,Solution1466,0,114,0,6,0,15,0,7,0,4
leetcode,original,Solution1102,0,228,0,20,0,24,0,14,0,4
leetcode,original,Solution2397,0,90,0,14,0,17,0,9,0,2
leetcode,original,Solution1067,2,170,1,33,0,25,1,20,0,4
leetcode,original,Solution2156,0,127,0,8,0,16,0,6,0,2
leetcode,original,Solution2395,2,30,1,3,1,5,1,3,0,2
leetcode,original,Solution0891,0,49,0,2,0,8,0,3,0,2
leetcode,original,Solution2272,0,104,0,12,0,17,0,8,0,2
leetcode,original,Solution2152,8,191,2,18,1,24,2,12,0,4
leetcode,original,Solution2392,5,206,4,20,1,33,4,12,0,4
leetcode,original,Solution3082,0,91,0,6,0,11,0,5,0,2
leetcode,original,Solution0526,1,120,2,14,1,22,2,10,0,4
leetcode,original,Solution2328,0,158,0,18,0,20,0,12,0,3
leetcode,original,Solution0941,3,54,4,8,1,9,4,4,0,2
leetcode,original,Solution1998,2,187,1,21,1,27,1,14,0,4
leetcode,original,Solution3417,0,88,0,12,0,16,0,9,0,3
leetcode,original,Solution0943,5,295,1,33,1,46,1,18,0,2
leetcode,original,Solution1755,0,146,2,10,0,29,2,7,0,3
leetcode,original,Solution2206,2,51,1,5,1,7,1,4,0,2
leetcode,original,Solution0942,0,44,0,4,0,10,0,4,0,2
leetcode,original,Solution1359,0,31,0,2,0,6,0,3,0,2
leetcode,original,Solution0387,4,43,2,4,1,8,2,3,0,2
leetcode,original,Solution1478,0,148,0,14,0,17,0,9,0,2
leetcode,original,Solution0265,0,69,0,8,0,13,0,6,0,2
leetcode,original,Solution2047,36,78,16,12,8,12,11,6,0,3
leetcode,original,Solution0422,6,49,4,6,2,8,4,3,0,2
leetcode,original,Solution0267,3,129,1,13,1,23,1,9,0,3
leetcode,original,Solution2202,15,41,5,5,4,10,4,3,0,2
leetcode,original,Solution1595,0,164,0,10,0,16,0,7,0,2
leetcode,original,Solution0780,31,36,15,9,3,9,10,4,0,2
leetcode,original,Solution3250,0,141,0,12,0,20,0,8,0,2
leetcode,original,Solution3091,0,34,0,2,0,7,0,3,0,2
leetcode,original,Solution1909,10,55,5,9,1,12,4,6,0,3
leetcode,original,Solution1901,3,84,2,6,1,15,2,5,0,3
leetcode,original,Solution0418,2,44,2,6,1,10,2,4,0,2
leetcode,original,Solution1404,0,44,1,9,0,17,1,6,0,2
leetcode,original,Solution1129,19,191,2,14,1,28,2,9,0,3
leetcode,original,Solution0555,0,132,1,15,0,30,1,9,0,2
leetcode,original,Solution2613,42,380,17,21,3,37,13,14,0,8
leetcode,original,Solution2734,27,29,6,4,6,7,4,3,0,2
leetcode,original,Solution2459,25,70,6,6,8,14,4,5,0,3
leetcode,original,Solution1521,0,88,0,6,0,15,0,5,0,2
leetcode,original,Solution1400,52,11,7,1,7,4,4,2,0,2
leetcode,original,Solution3304,24,27,3,1,2,5,2,2,0,2
leetcode,original,Solution0035,0,32,0,4,0,9,0,4,0,2
leetcode,original,Solution1763,2,94,2,14,0,19,2,8,0,2
leetcode,original,Solution1642,2,57,1,7,1,12,1,5,0,2
leetcode,original,Solution2577,9,217,3,21,1,24,2,13,0,3
leetcode,original,Solution2457,9,58,1,5,2,14,1,5,0,3
leetcode,original,Solution1641,8,58,1,5,1,11,1,5,0,3
leetcode,original,Solution1001,0,253,7,25,0,35,7,14,0,5
leetcode,original,Solution1122,0,97,0,6,0,11,0,6,0,3
leetcode,original,Solution3386,39,23,7,1,5,4,4,2,0,2
leetcode,original,Solution3264,71,0,6,0,11,0,6,0,3,0
leetcode,original,Solution0670,2,86,2,8,0,17,2,5,0,2
leetcode,original,Solution0548,119,0,14,0,14,0,9,0,2,0
leetcode,original,Solution2605,0,61,0,6,0,8,0,5,0,2
