GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,101,0,20,0,18,0,13,0,3,0
leetcode,original,Solution1899,83,0,14,0,10,0,9,0,2,0
leetcode,original,Solution3317,104,0,6,0,12,0,5,0,2,0
leetcode,original,Solution2503,237,0,20,0,28,0,14,0,4,0
leetcode,original,Solution0684,79,0,6,0,14,0,6,0,3,0
leetcode,original,Solution1895,280,0,28,0,33,0,17,0,3,0
leetcode,original,Solution0321,200,0,26,0,40,0,18,0,5,0
leetcode,original,Solution2862,86,0,6,0,17,0,5,0,2,0
leetcode,original,Solution3398,131,0,18,0,26,0,12,0,3,0
leetcode,original,Solution3154,98,0,10,0,15,0,8,0,3,0
leetcode,original,Bitset,108,0,8,0,25,0,12,0,8,0
leetcode,original,Solution2617,321,0,34,0,25,0,21,0,4,0
leetcode,original,Solution3209,85,0,4,0,13,0,4,0,2,0
leetcode,original,Solution2912,166,0,8,0,15,0,6,0,2,0
leetcode,original,Solution2513,115,0,10,0,15,0,9,0,4,0
leetcode,original,Solution2115,145,0,14,0,22,0,10,0,3,0
leetcode,original,Solution3287,202,0,26,0,27,0,15,0,2,0
leetcode,original,Solution2470,63,0,8,0,14,0,8,0,4,0
leetcode,original,NeighborSum,184,0,14,0,18,0,11,0,4,0
leetcode,original,Solution2907,77,0,14,0,14,0,9,0,2,0
leetcode,original,MyCircularDeque,154,0,18,0,35,0,18,0,9,0
leetcode,original,Solution1316,148,0,8,0,20,0,7,0,3,0
leetcode,original,Solution1954,30,0,2,0,5,0,3,0,2,0
leetcode,original,Solution1955,194,0,8,0,18,0,6,0,2,0
leetcode,original,Solution3219,68,0,10,0,13,0,7,0,2,0
leetcode,original,Solution2402,183,0,16,0,25,0,12,0,4,0
leetcode,original,Solution1035,85,0,6,0,9,0,5,0,2,0
leetcode,original,Solution0582,76,0,4,0,13,0,6,0,4,0
leetcode,original,Solution1392,113,0,6,0,14,0,6,0,3,0
leetcode,original,Solution1272,102,0,10,0,12,0,7,0,2,0
leetcode,original,Solution3171,133,0,18,0,21,0,11,0,2,0
leetcode,original,Solution0739,56,0,8,0,11,0,6,0,2,0
leetcode,original,Solution1307,281,0,46,0,40,0,26,0,3,0
leetcode,original,Solution0479,68,0,8,0,12,0,6,0,2,0
leetcode,original,ATM,126,0,8,0,17,0,7,0,3,0
leetcode,original,Solution1449,164,0,16,0,24,0,10,0,2,0
leetcode,original,Solution2538,148,0,6,0,20,0,7,0,4,0
leetcode,original,Solution0475,65,0,8,0,11,0,6,0,2,0
leetcode,original,Solution1962,68,0,6,0,12,0,6,0,3,0
leetcode,original,Solution0593,141,0,26,0,15,0,16,0,3,0
leetcode,original,Solution3341,205,0,20,0,25,0,13,0,3,0
leetcode,original,Solution1040,106,0,8,0,12,0,6,0,2,0
leetcode,original,Solution1283,57,0,6,0,12,0,5,0,2,0
leetcode,original,Solution2093,241,0,16,0,28,0,11,0,3,0
leetcode,original,Solution1958,86,0,24,0,15,0,14,0,2,0
leetcode,original,Solution0005,105,0,12,0,15,0,8,0,2,0
leetcode,original,Solution1851,168,0,14,0,22,0,12,0,5,0
leetcode,original,Solution2268,55,0,6,0,11,0,5,0,2,0
leetcode,original,Solution3235,347,0,60,0,37,0,36,0,6,0
leetcode,original,Solution2024,71,0,8,0,10,0,7,0,3,0
leetcode,original,Solution2387,102,0,10,0,23,0,8,0,3,0
leetcode,original,Solution2141,82,0,8,0,14,0,6,0,2,0
leetcode,original,Solution3070,85,0,6,0,10,0,5,0,2,0
leetcode,original,Solution1728,621,0,64,0,81,0,38,0,6,0
leetcode,original,Solution1846,48,0,2,0,9,0,3,0,2,0
leetcode,original,Solution0517,75,0,6,0,15,0,5,0,2,0
leetcode,original,Solution0017,117,0,8,0,15,0,6,0,2,0
leetcode,original,Solution2557,145,0,10,0,23,0,7,0,2,0
leetcode,original,Solution2954,205,0,18,0,29,0,13,0,4,0
leetcode,original,Solution1345,159,0,18,0,24,0,12,0,3,0
leetcode,original,Solution1466,114,0,6,0,15,0,7,0,4,0
leetcode,original,Solution1102,228,0,20,0,24,0,14,0,4,0
leetcode,original,Solution2397,90,0,14,0,17,0,9,0,2,0
leetcode,original,Solution1067,172,0,34,0,25,0,21,0,4,0
leetcode,original,Solution2156,127,0,8,0,16,0,6,0,2,0
leetcode,original,Solution0891,49,0,2,0,8,0,3,0,2,0
leetcode,original,Solution2272,0,104,0,12,0,17,0,8,0,2
leetcode,original,Solution2152,199,0,20,0,25,0,14,0,4,0
leetcode,original,Solution2392,211,0,24,0,34,0,16,0,4,0
leetcode,original,Solution3082,91,0,6,0,11,0,5,0,2,0
leetcode,original,Solution0526,121,0,16,0,23,0,12,0,4,0
leetcode,original,Solution2328,158,0,18,0,20,0,12,0,3,0
leetcode,original,Solution1998,189,0,22,0,28,0,15,0,4,0
leetcode,original,Solution0943,300,0,34,0,47,0,19,0,2,0
leetcode,original,Solution1755,146,0,12,0,29,0,9,0,3,0
leetcode,original,Solution1359,31,0,2,0,6,0,3,0,2,0
leetcode,original,Solution1478,148,0,14,0,17,0,9,0,2,0
leetcode,original,Solution0265,69,0,8,0,13,0,6,0,2,0
leetcode,original,Solution0267,132,0,14,0,24,0,10,0,3,0
leetcode,original,Solution2202,56,0,10,0,14,0,7,0,2,0
leetcode,original,Solution1595,164,0,10,0,16,0,7,0,2,0
leetcode,original,Solution0780,67,0,24,0,12,0,14,0,2,0
leetcode,original,Solution3250,141,0,12,0,20,0,8,0,2,0
leetcode,original,Solution3091,34,0,2,0,7,0,3,0,2,0
leetcode,original,Solution1901,87,0,8,0,16,0,7,0,3,0
leetcode,original,Solution0418,46,0,8,0,11,0,6,0,2,0
leetcode,original,Solution1404,44,0,10,0,17,0,7,0,2,0
leetcode,original,Solution1129,210,0,16,0,29,0,11,0,3,0
leetcode,original,Solution0555,132,0,16,0,30,0,10,0,2,0
leetcode,original,Solution2613,422,0,38,0,40,0,27,0,8,0
leetcode,original,Solution2734,56,0,10,0,13,0,7,0,2,0
leetcode,original,Solution2459,95,0,12,0,22,0,9,0,3,0
leetcode,original,Solution1521,88,0,6,0,15,0,5,0,2,0
leetcode,original,Solution1400,63,0,8,0,11,0,6,0,2,0
leetcode,original,Solution1642,59,0,8,0,13,0,6,0,2,0
leetcode,original,Solution2577,226,0,24,0,25,0,15,0,3,0
leetcode,original,Solution2457,67,0,6,0,16,0,6,0,3,0
leetcode,original,Solution1641,66,0,6,0,12,0,6,0,3,0
leetcode,original,Solution1001,253,0,32,0,35,0,21,0,5,0
