GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,0,101,0,20,0,18,0,13,0,3
leetcode,original,Solution1899,1,82,5,9,0,10,5,4,0,2
leetcode,original,Solution3317,0,104,0,6,0,12,0,5,0,2
leetcode,original,Solution2503,8,229,1,19,0,28,2,12,1,3
leetcode,original,Solution0684,0,79,0,6,0,14,0,6,0,3
leetcode,original,Solution1895,56,224,11,17,12,21,7,10,0,3
leetcode,original,Solution0321,0,200,0,26,0,40,0,18,0,5
leetcode,original,Solution2862,0,86,0,6,0,17,0,5,0,2
leetcode,original,Solution3398,0,131,0,18,0,26,0,12,0,3
leetcode,original,Solution3154,8,90,1,9,1,14,1,7,0,3
leetcode,original,Bitset,43,65,7,1,8,17,8,4,4,4
leetcode,original,Solution2617,43,278,9,25,2,23,8,13,0,4
leetcode,original,Solution3209,0,85,0,4,0,13,0,4,0,2
leetcode,original,Solution2912,21,145,4,4,1,14,3,3,0,2
leetcode,original,Solution2513,0,115,2,8,0,15,2,7,0,4
leetcode,original,Solution2115,0,145,0,14,0,22,0,10,0,3
leetcode,original,Solution3287,0,202,0,26,0,27,0,15,0,2
leetcode,original,Solution2470,0,63,0,8,0,14,0,8,0,4
leetcode,original,NeighborSum,5,179,4,10,1,17,5,6,1,3
leetcode,original,Solution2907,77,0,14,0,14,0,9,0,2,0
leetcode,original,MyCircularDeque,98,56,12,6,23,12,12,6,5,4
leetcode,original,Solution1316,0,148,0,8,0,20,0,7,0,3
leetcode,original,Solution1954,0,30,0,2,0,5,0,3,0,2
leetcode,original,Solution1955,46,148,2,6,3,15,2,4,0,2
leetcode,original,Solution3219,68,0,10,0,13,0,7,0,2,0
leetcode,original,Solution2402,35,148,2,14,3,22,2,10,0,4
leetcode,original,Solution1035,0,85,0,6,0,9,0,5,0,2
leetcode,original,Solution0582,0,76,0,4,0,13,0,6,0,4
leetcode,original,Solution1392,2,111,1,5,1,13,1,5,0,3
leetcode,original,Solution1272,16,86,3,7,1,11,3,4,0,2
leetcode,original,Solution3171,0,133,1,17,0,21,1,10,0,2
leetcode,original,Solution0739,0,56,0,8,0,11,0,6,0,2
leetcode,original,Solution1307,1,280,6,40,0,40,6,20,0,3
leetcode,original,Solution0479,5,63,1,7,1,11,1,5,0,2
leetcode,original,ATM,21,105,3,5,3,14,2,5,0,3
leetcode,original,Solution1449,2,162,1,15,1,23,1,9,0,2
leetcode,original,Solution2538,0,148,0,6,0,20,0,7,0,4
leetcode,original,Solution0475,0,65,0,8,0,11,0,6,0,2
leetcode,original,Solution1962,0,68,0,6,0,12,0,6,0,3
leetcode,original,Solution0593,3,138,11,15,1,14,11,5,0,3
leetcode,original,Solution3341,1,204,3,17,1,24,3,10,0,3
leetcode,original,Solution1040,2,104,2,6,1,11,2,4,0,2
leetcode,original,Solution1283,4,53,1,5,1,11,1,4,0,2
leetcode,original,Solution2093,2,239,1,15,1,27,1,10,0,3
leetcode,original,Solution1958,9,77,9,15,1,14,8,6,0,2
leetcode,original,Solution0005,0,105,1,11,0,15,1,7,0,2
leetcode,original,Solution1851,168,0,14,0,22,0,12,0,5,0
leetcode,original,Solution2268,0,55,0,6,0,11,0,5,0,2
leetcode,original,Solution3235,219,128,49,11,21,16,31,5,2,4
leetcode,original,Solution2024,0,71,0,8,0,10,0,7,0,3
leetcode,original,Solution2387,0,102,0,10,0,23,0,8,0,3
leetcode,original,Solution2141,0,82,0,8,0,14,0,6,0,2
leetcode,original,Solution3070,0,85,0,6,0,10,0,5,0,2
leetcode,original,Solution1728,621,0,64,0,81,0,38,0,6,0
leetcode,original,Solution1846,0,48,0,2,0,9,0,3,0,2
leetcode,original,Solution0517,41,34,3,3,8,7,2,3,0,2
leetcode,original,Solution0017,105,12,7,1,11,4,4,2,0,2
leetcode,original,Solution2557,1,144,1,9,1,22,1,6,0,2
leetcode,original,Solution2954,17,188,2,16,1,28,2,11,0,4
leetcode,original,Solution1345,9,150,2,16,2,22,2,10,0,3
leetcode,original,Solution1466,0,114,0,6,0,15,0,7,0,4
leetcode,original,Solution1102,0,228,0,20,0,24,0,14,0,4
