GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,0,101,0,20,0,18,0,13,0,3
leetcode,original,Solution1899,0,83,0,14,0,10,0,9,0,2
leetcode,original,Solution2744,0,66,0,2,0,8,0,3,0,2
leetcode,original,Solution3317,0,104,0,6,0,12,0,5,0,2
leetcode,original,Solution1897,0,75,0,8,0,10,0,6,0,2
leetcode,original,Solution2503,0,237,0,20,0,28,0,14,0,4
leetcode,original,Solution0684,0,79,0,6,0,14,0,6,0,3
leetcode,original,Solution1895,0,280,0,28,0,33,0,17,0,3
leetcode,original,Solution0321,0,200,0,26,0,40,0,18,0,5
leetcode,original,Solution2864,0,25,0,0,0,3,0,2,0,2
leetcode,original,Solution2862,0,86,0,6,0,17,0,5,0,2
leetcode,original,Solution0283,0,35,0,4,0,8,0,4,0,2
leetcode,original,Solution3398,0,131,0,18,0,26,0,12,0,3
leetcode,original,Solution3154,0,98,0,10,0,15,0,8,0,3
leetcode,original,Solution3274,0,29,0,2,0,4,0,3,0,2
leetcode,original,Bitset,0,108,0,8,0,25,0,12,0,8
leetcode,original,Solution2617,15,306,3,31,0,25,2,19,0,4
leetcode,original,Solution3209,0,85,0,4,0,13,0,4,0,2
leetcode,original,Solution2912,0,166,0,8,0,15,0,6,0,2
leetcode,original,Solution2513,0,115,0,10,0,15,0,9,0,4
leetcode,original,Solution2115,0,145,0,14,0,22,0,10,0,3
leetcode,original,Solution1422,0,60,0,6,0,12,0,5,0,2
leetcode,original,Solution2357,0,39,0,4,0,9,0,4,0,2
leetcode,original,Solution3287,0,202,0,26,0,27,0,15,0,2
leetcode,original,Solution1021,0,43,0,8,0,11,0,6,0,2
leetcode,original,Solution2470,0,63,0,8,0,14,0,8,0,4
leetcode,original,NeighborSum,0,184,0,14,0,18,0,11,0,4
leetcode,original,Solution2907,0,77,0,14,0,14,0,9,0,2
leetcode,original,Solution2869,0,53,0,6,0,11,0,5,0,2
leetcode,original,MyCircularDeque,0,154,0,18,0,35,0,18,0,9
leetcode,original,Solution1316,0,148,0,8,0,20,0,7,0,3
leetcode,original,Solution1954,0,30,0,2,0,5,0,3,0,2
leetcode,original,Solution1955,0,194,0,8,0,18,0,6,0,2
leetcode,original,Solution1317,0,28,0,2,0,5,0,3,0,2
leetcode,original,Solution3219,0,68,0,10,0,13,0,7,0,2
leetcode,original,Solution1952,0,24,0,6,0,6,0,5,0,2
leetcode,original,Solution2404,0,76,0,12,0,13,0,8,0,2
leetcode,original,Solution0744,0,26,0,2,0,4,0,3,0,2
leetcode,original,Solution1436,0,43,0,4,0,9,0,4,0,2
leetcode,original,Solution2402,0,183,0,16,0,25,0,12,0,4
leetcode,original,Solution1035,0,85,0,6,0,9,0,5,0,2
leetcode,original,Solution1154,97,9,8,0,8,2,4,2,0,2
leetcode,original,Solution2243,0,55,0,6,0,12,0,5,0,2
