GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HumanEvalJava,original,IntToMiniRoman,3,140,0,4,1,8,1,3,1,1
HumanEvalJava,original,GetPositive,3,30,1,5,1,8,2,3,1,1
HumanEvalJava,original,LargestPrimeFactor,3,22,0,4,1,7,1,3,1,1
HumanEvalJava,original,Tri,3,77,0,6,1,10,1,4,1,1
HumanEvalJava,original,SeparateParenGroups,3,52,0,8,1,14,1,5,1,1
HumanEvalJava,original,ProdSigns,3,54,1,9,1,15,2,5,1,1
HumanEvalJava,original,GenerateIntegers,3,34,0,4,1,7,1,3,1,1
HumanEvalJava,original,Modp,3,17,0,2,1,4,1,2,1,1
HumanEvalJava,original,AllPrefixes,3,23,0,2,1,4,1,2,1,1
HumanEvalJava,original,Unique,3,28,0,2,1,7,1,2,1,1
HumanEvalJava,original,SmallestChange,3,25,0,4,1,9,1,3,1,1
HumanEvalJava,original,StringXor,3,26,0,4,1,6,1,3,1,1
HumanEvalJava,original,EvenOddPalindrome,3,63,0,10,1,17,1,7,1,2
HumanEvalJava,original,Add1,3,33,0,6,1,5,1,4,1,1
HumanEvalJava,original,StringToMd5,9,34,0,4,3,9,1,3,1,1
HumanEvalJava,original,Add,3,4,0,0,1,1,1,1,1,1
HumanEvalJava,original,HowManyTimes,3,22,0,4,1,9,1,3,1,1
HumanEvalJava,original,SortThird,3,54,0,8,1,10,1,5,1,1
HumanEvalJava,original,ParseMusic,3,56,0,10,1,11,1,6,1,1
HumanEvalJava,original,Factorize,3,27,0,4,1,6,1,3,1,1
HumanEvalJava,original,SortedListSum.new Comparator() {...},0,24,0,2,0,4,0,3,0,2
HumanEvalJava,original,CorrectBracketing1,3,30,0,8,1,8,1,5,1,1
HumanEvalJava,original,Skjkasdkd,3,61,0,14,1,16,1,9,1,2
HumanEvalJava,original,AntiShuffle,3,33,0,2,1,7,1,3,1,2
HumanEvalJava,original,ValidDate,15,75,11,19,4,16,10,7,1,1
HumanEvalJava,original,TriplesSumToZero,3,52,0,8,1,6,1,5,1,1
HumanEvalJava,original,Compare,3,30,0,2,1,4,1,2,1,1
HumanEvalJava,original,IncrList,3,30,1,3,1,7,2,2,1,1
HumanEvalJava,original,StringSequence,3,16,0,2,1,4,1,2,1,1
HumanEvalJava,original,TotalMatch,3,49,2,8,1,13,3,4,1,1
HumanEvalJava,original,HexKey,3,38,0,14,1,7,1,8,1,1
HumanEvalJava,original,SpecialFactorial,3,32,0,4,1,8,1,4,1,2
HumanEvalJava,original,RemoveDuplicates,3,31,0,4,1,5,1,3,1,1
HumanEvalJava,original,Multiply,6,15,1,3,1,3,2,2,1,1
HumanEvalJava,original,RollingMax,8,37,1,7,2,9,2,4,1,1
HumanEvalJava,original,Concatenate,3,19,0,2,1,5,1,2,1,1
HumanEvalJava,original,IsBored,3,60,2,8,1,14,3,4,1,1
HumanEvalJava,original,Solve,3,57,0,8,1,12,1,5,1,1
HumanEvalJava,original,Encrypt,3,39,2,6,1,9,3,3,1,1
HumanEvalJava,original,PairsSumToZero,3,36,0,6,1,5,1,4,1,1
HumanEvalJava,original,F,3,60,0,8,1,14,1,7,1,3
HumanEvalJava,original,AddElements,3,26,0,4,1,5,1,3,1,1
HumanEvalJava,original,TruncateNumber,3,14,0,0,1,1,1,1,1,1
HumanEvalJava,original,OrderByPoints.new Comparator() {...},0,54,0,8,0,13,0,7,0,3
HumanEvalJava,original,FixSpaces,7,77,1,11,2,19,2,6,1,1
HumanEvalJava,original,GreatestCommonDivisor,3,10,0,2,1,3,1,2,1,1
HumanEvalJava,original,NextSmallest,3,50,0,12,1,13,1,7,1,1
HumanEvalJava,original,Common.new Comparator() {...},2,17,2,2,1,3,2,2,0,2
HumanEvalJava,original,BelowThreshold,3,21,0,4,1,4,1,3,1,1
HumanEvalJava,original,DecimalToBinary,3,22,0,4,1,7,1,3,1,1
HumanEvalJava,original,Common,3,62,1,9,1,13,2,5,1,1
HumanEvalJava,original,IsPrime,3,23,0,6,1,6,1,4,1,1
HumanEvalJava,original,LargestDivisor,5,14,1,3,2,3,2,2,1,1
HumanEvalJava,original,FilterIntegers,3,23,0,4,1,6,1,3,1,1
HumanEvalJava,original,Simplify,3,38,0,2,1,7,1,2,1,1
HumanEvalJava,original,EvenOddCount,3,35,0,6,1,10,1,4,1,1
HumanEvalJava,original,PrimeLength,3,28,0,8,1,7,1,5,1,1
HumanEvalJava,original,Exchange,3,42,0,10,1,10,1,6,1,1
HumanEvalJava,original,CorrectBracketing,3,30,0,8,1,8,1,5,1,1
HumanEvalJava,original,ReverseDelete,3,63,0,8,1,10,1,5,1,1
HumanEvalJava,original,LargestSmallestIntegers,3,65,0,14,1,18,1,8,1,1
HumanEvalJava,original,CountUpper,3,28,0,8,1,6,1,5,1,1
HumanEvalJava,original,IsPalindrome,3,26,0,4,1,8,1,3,1,1
HumanEvalJava,original,WordsString,3,14,0,2,1,4,1,2,1,1
HumanEvalJava,original,CountDistinctCharacters,3,23,0,2,1,4,1,2,1,1
HumanEvalJava,original,Histogram,3,106,1,13,1,18,2,7,1,1
HumanEvalJava,original,TriangleArea1,3,52,1,5,1,4,2,3,1,1
HumanEvalJava,original,StartsOneEnds,3,43,0,8,1,10,1,5,1,1
HumanEvalJava,original,Bf,3,92,1,9,1,19,2,5,1,1
HumanEvalJava,original,CheckIfLastCharIsALetter,3,42,0,8,1,11,1,5,1,1
HumanEvalJava,original,Specialfilter,3,77,0,8,1,9,1,5,1,1
HumanEvalJava,original,GetRow,3,57,0,6,1,11,1,4,1,1
HumanEvalJava,original,AnyInt,3,45,2,10,1,8,3,5,1,1
HumanEvalJava,original,Minpath,3,132,0,18,1,21,1,10,1,1
HumanEvalJava,original,SumSquares,3,25,0,2,1,5,1,2,1,1
HumanEvalJava,original,SameChars,3,58,0,8,1,10,1,5,1,1
HumanEvalJava,original,WillItFly,3,52,0,8,1,9,1,5,1,1
HumanEvalJava,original,Solve1,3,18,0,2,1,5,1,2,1,1
HumanEvalJava,original,RescaleToUnit,3,69,0,8,1,11,1,5,1,1
HumanEvalJava,original,Pluck,3,53,1,9,1,13,2,5,1,1
HumanEvalJava,original,FizzBuzz,3,36,0,10,1,8,1,6,1,1
HumanEvalJava,original,ChangeBase,3,17,0,2,1,5,1,2,1,1
HumanEvalJava,original,Maximum1,3,87,1,13,1,18,2,7,1,1
HumanEvalJava,original,RightAngleTriangle,19,56,5,15,2,6,5,7,1,1
HumanEvalJava,original,SortedListSum,3,33,0,4,1,6,1,3,1,1
HumanEvalJava,original,RoundedAvg,3,39,0,4,1,8,1,3,1,1
HumanEvalJava,original,Monotonic,9,78,2,10,3,11,3,5,1,1
HumanEvalJava,original,Digitsum,3,26,0,6,1,6,1,4,1,1
HumanEvalJava,original,IsMultiplyPrime,3,27,0,6,1,7,1,4,1,1
HumanEvalJava,original,FilterBySubstring,3,27,0,4,1,5,1,3,1,1
HumanEvalJava,original,XOrY,3,20,0,6,1,6,1,4,1,1
HumanEvalJava,original,Strlen,3,3,0,0,1,1,1,1,1,1
HumanEvalJava,original,GetOddCollatz,3,42,0,6,1,10,1,4,1,1
HumanEvalJava,original,SortEven,3,54,0,8,1,10,1,5,1,1
HumanEvalJava,original,RemoveVowels,3,50,4,18,1,6,5,8,1,1
HumanEvalJava,original,ParseNestedParens,3,44,0,8,1,13,1,5,1,1
HumanEvalJava,original,SumProduct,8,50,1,3,2,11,2,2,1,1
