GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,8,93,1,19,1,17,1,12,0,3
leetcode,original,Solution1899,2,81,5,9,0,10,5,4,0,2
leetcode,original,Solution2744,0,66,0,2,0,8,0,3,0,2
leetcode,original,Solution3317,0,104,0,6,0,12,0,5,0,2
leetcode,original,Solution1897,2,73,1,7,1,9,1,5,0,2
leetcode,original,Solution2503,8,229,1,19,0,28,2,12,1,3
leetcode,original,Solution0684,0,79,0,6,0,14,0,6,0,3
leetcode,original,Solution1895,86,194,15,13,15,18,9,8,0,3
leetcode,original,Solution0321,0,200,0,26,0,40,0,18,0,5
leetcode,original,Solution2864,0,25,0,0,0,3,0,2,0,2
leetcode,original,Solution2862,0,86,0,6,0,17,0,5,0,2
leetcode,original,Solution0283,0,35,0,4,0,8,0,4,0,2
leetcode,original,Solution3398,5,126,4,14,1,25,4,8,0,3
leetcode,original,Solution3154,8,90,1,9,1,14,1,7,0,3
leetcode,original,Solution3274,1,28,1,1,0,4,1,2,0,2
leetcode,original,Bitset,63,45,7,1,13,12,9,3,5,3
leetcode,original,Solution2617,23,298,6,28,0,25,5,16,0,4
leetcode,original,Solution3209,0,85,0,4,0,13,0,4,0,2
leetcode,original,Solution2912,21,145,4,4,1,14,3,3,0,2
leetcode,original,Solution2513,0,115,2,8,0,15,2,7,0,4
leetcode,original,Solution2115,0,145,0,14,0,22,0,10,0,3
leetcode,original,Solution1422,0,60,0,6,0,12,0,5,0,2
leetcode,original,Solution2357,0,39,1,3,0,9,1,3,0,2
leetcode,original,Solution3287,0,202,0,26,0,27,0,15,0,2
leetcode,original,Solution1021,0,43,0,8,0,11,0,6,0,2
leetcode,original,Solution2470,0,63,0,8,0,14,0,8,0,4
leetcode,original,NeighborSum,5,179,3,11,1,17,4,7,1,3
leetcode,original,Solution2907,0,77,2,12,0,14,2,7,0,2
leetcode,original,Solution2869,53,0,6,0,11,0,5,0,2,0
leetcode,original,MyCircularDeque,98,56,12,6,23,12,12,6,5,4
leetcode,original,Solution1316,0,148,0,8,0,20,0,7,0,3
leetcode,original,Solution1954,0,30,0,2,0,5,0,3,0,2
leetcode,original,Solution1955,46,148,2,6,3,15,2,4,0,2
leetcode,original,Solution1317,2,26,1,1,0,5,1,2,0,2
leetcode,original,Solution3219,68,0,10,0,13,0,7,0,2,0
leetcode,original,Solution1952,1,23,1,5,0,6,1,4,0,2
leetcode,original,Solution2404,0,76,2,10,0,13,2,6,0,2
leetcode,original,Solution0744,1,25,1,1,0,4,1,2,0,2
leetcode,original,Solution1436,0,43,0,4,0,9,0,4,0,2
leetcode,original,Solution2402,47,136,4,12,5,20,4,8,0,4
leetcode,original,Solution1035,0,85,0,6,0,9,0,5,0,2
leetcode,original,Solution1154,1,105,3,5,0,10,3,3,0,2
leetcode,original,Solution2243,0,55,0,6,0,12,0,5,0,2
leetcode,original,Solution0582,0,76,0,4,0,13,0,6,0,4
leetcode,original,Solution1392,5,108,1,5,1,13,1,5,0,3
leetcode,original,Solution1272,0,102,1,9,0,12,1,6,0,2
leetcode,original,Solution3171,0,133,1,17,0,21,1,10,0,2
leetcode,original,Solution0739,0,56,0,8,0,11,0,6,0,2
leetcode,original,Solution1307,10,271,11,35,2,38,10,16,0,3
leetcode,original,Solution0479,2,66,1,7,1,11,1,5,0,2
leetcode,original,ATM,7,119,1,7,1,16,1,6,0,3
leetcode,original,Solution1207,1,43,1,3,0,5,1,3,0,2
leetcode,original,Solution1449,2,162,1,15,1,23,1,9,0,2
leetcode,original,Solution2538,0,148,0,6,0,20,0,7,0,4
leetcode,original,Solution1446,0,34,0,4,0,7,0,4,0,2
leetcode,original,Solution0475,0,65,0,8,0,11,0,6,0,2
leetcode,original,Solution2259,0,41,1,5,0,9,1,4,0,2
leetcode,original,Solution1962,0,68,0,6,0,12,0,6,0,3
leetcode,original,Solution0598,0,35,0,2,0,5,0,3,0,2
leetcode,original,Solution3467,0,54,0,6,0,9,0,5,0,2
leetcode,original,Solution3069,8,65,1,5,1,13,1,4,0,2
leetcode,original,Solution3222,1,31,2,2,0,5,2,2,0,2
leetcode,original,Solution0231,1,14,2,2,0,2,2,2,0,2
leetcode,original,Solution0593,12,129,14,12,2,13,12,4,0,3
leetcode,original,Solution3341,1,204,1,19,1,24,1,12,0,3
leetcode,original,Solution1040,0,106,1,7,0,12,1,5,0,2
leetcode,original,Solution1283,0,57,0,6,0,12,0,5,0,2
leetcode,original,Solution2093,2,239,1,15,1,27,1,10,0,3
leetcode,original,Solution2928,55,10,5,1,7,3,4,2,1,2
leetcode,original,Solution1958,86,0,24,0,15,0,14,0,2,0
leetcode,original,Solution2409,2,118,2,4,0,12,2,4,0,3
leetcode,original,Solution0748,0,105,1,17,0,21,1,10,0,2
leetcode,original,Solution2529,0,34,1,5,0,8,1,4,0,2
leetcode,original,Solution0005,0,105,1,11,0,15,1,7,0,2
leetcode,original,Solution2549,0,9,0,0,0,2,0,2,0,2
leetcode,original,Solution1851,168,0,14,0,22,0,12,0,5,0
leetcode,original,Solution2268,0,55,0,6,0,11,0,5,0,2
leetcode,original,Solution3235,271,76,57,3,25,12,33,3,3,3
leetcode,original,Solution2024,0,71,0,8,0,10,0,7,0,3
leetcode,original,Solution2387,0,102,0,10,0,23,0,8,0,3
leetcode,original,Solution0121,0,37,0,2,0,6,0,3,0,2
leetcode,original,Solution2141,0,82,0,8,0,14,0,6,0,2
leetcode,original,Solution3194,0,38,0,2,0,7,0,3,0,2
leetcode,original,Solution3070,0,85,0,6,0,10,0,5,0,2
leetcode,original,Solution1728,1,620,1,63,0,81,1,37,0,6
leetcode,original,Solution0914,1,75,1,7,0,10,1,6,0,3
leetcode,original,Solution1967,0,28,1,3,0,6,1,3,0,2
leetcode,original,Solution1846,0,48,0,2,0,9,0,3,0,2
leetcode,original,Solution0517,41,34,3,3,8,7,2,3,0,2
leetcode,original,Solution0017,105,12,7,1,11,4,4,2,0,2
leetcode,original,Solution2557,5,140,2,8,2,21,2,5,0,2
leetcode,original,Solution2954,0,205,2,16,0,29,2,11,0,4
leetcode,original,Solution1345,0,159,1,17,0,24,1,11,0,3
leetcode,original,Solution1466,0,114,0,6,0,15,0,7,0,4
leetcode,original,Solution1102,0,228,0,20,0,24,0,14,0,4
leetcode,original,Solution2397,0,90,1,13,0,17,1,8,0,2
leetcode,original,Solution1067,2,170,1,33,0,25,1,20,0,4
leetcode,original,Solution2156,2,125,1,7,1,15,1,5,0,2
leetcode,original,Solution2395,2,30,1,3,1,5,1,3,0,2
leetcode,original,Solution0891,0,49,0,2,0,8,0,3,0,2
leetcode,original,Solution2272,0,104,0,12,0,17,0,8,0,2
leetcode,original,Solution2152,8,191,2,18,1,24,2,12,0,4
leetcode,original,Solution2392,5,206,3,21,1,33,3,13,0,4
leetcode,original,Solution3082,0,91,0,6,0,11,0,5,0,2
leetcode,original,Solution0526,1,120,1,15,1,22,1,11,0,4
leetcode,original,Solution2328,0,158,0,18,0,20,0,12,0,3
leetcode,original,Solution0941,57,0,12,0,10,0,8,0,2,0
leetcode,original,Solution1998,2,187,1,21,1,27,1,14,0,4
leetcode,original,Solution3417,0,88,0,12,0,16,0,9,0,3
leetcode,original,Solution0943,300,0,34,0,47,0,19,0,2,0
leetcode,original,Solution1755,13,133,3,9,2,27,3,6,0,3
