CLASS,mutation_score,killed,total
Add1,1.0,12,12
CycpatternCheck,1.0,17,17
IsPrime,1.0,15,15
TriplesSumToZero,1.0,19,19
Fibfib,1.0,15,15
TotalMatch,1.0,15,15
SelectWords,1.0,20,20
LargestDivisor,1.0,9,9
SumSquares,1.0,4,4
FilterByPrefix,1.0,4,4
SeparateParenGroups,1.0,15,15
FruitDistribution,1.0,16,16
Encrypt,1.0,17,17
Skjkasdkd,0.93,25,27
ByLength,1.0,13,13
RemoveDuplicates,1.0,7,7
GenerateIntegers,1.0,5,5
Monotonic,0.89,25,28
CorrectBracketing,1.0,17,17
WordsInSentence,1.0,22,22
MoveOneBall,1.0,21,21
IsHappy,1.0,21,21
Tri,1.0,19,19
EvenOddCount,1.0,17,17
StringSequence,1.0,5,5
SumToN,1.0,7,7
IsEqualToSumEven,1.0,9,9
CorrectBracketing1,1.0,17,17
XOrY,0.86,12,14
Search,1.0,13,13
HexKey,1.0,14,14
StrongestExtension,1.0,22,22
Solve1,1.0,7,7
F,1.0,22,22
CountNums,1.0,31,31
Maximum1,0.77,24,31
SortedListSum,1.0,17,17
GetOddCollatz,1.0,9,9
Solution,1.0,12,12
RollingMax,1.0,8,8
Digitsum,1.0,12,12
IntToMiniRoman,1.0,5,5
CheckIfLastCharIsALetter,1.0,22,22
OrderByPoints,1.0,26,26
CheckDictCase,1.0,18,18
Eat,1.0,10,10
CircularShift,1.0,17,17
MaxFill,1.0,7,7
StartsOneEnds,1.0,20,20
Median,1.0,15,15
BelowZero,1.0,13,13
IsBored,1.0,10,10
Intersperse,1.0,9,9
Derivative,1.0,7,7
Common,1.0,15,15
StrangeSortList,1.0,17,17
BelowThreshold,1.0,10,10
CompareOne,1.0,10,10
WillItFly,1.0,22,22
SortThird,1.0,18,18
ChooseNum,1.0,10,10
ParseNestedParens,1.0,15,15
MakePalindrome,1.0,11,11
AddElements,1.0,10,10
RightAngleTriangle,1.0,30,30
Minpath,0.92,34,37
IsPalindrome,1.0,15,15
FileNameCheck,1.0,30,30
AntiShuffle,1.0,9,9
Add,1.0,3,3
IsNested,1.0,20,20
LargestPrimeFactor,1.0,12,12
ReverseDelete,1.0,15,15
NextSmallest,1.0,19,19
DoubleTheDifference,1.0,15,15
SmallestChange,1.0,15,15
DecimalToBinary,1.0,10,10
GreatestCommonDivisor,1.0,7,7
MatchParens,1.0,37,37
Encode,1.0,32,32
PrimeFib,1.0,14,14
StringXor,1.0,7,7
Exchange,1.0,23,23
Strlen,1.0,2,2
HasCloseElements,1.0,15,15
IsSimplePower,1.0,12,12
RoundedAvg,1.0,17,17
IncrList,1.0,6,6
HowManyTimes,1.0,9,9
Longest,1.0,12,12
FilterBySubstring,1.0,7,7
GetRow,0.83,10,12
ProdSigns,0.9,19,21
FilterIntegers,1.0,4,4
SortNumbers,1.0,50,50
TruncateNumber,1.0,5,5
SumSquares1,1.0,23,23
Minsubarraysum,1.0,21,21
ChangeBase,1.0,6,6
StringToMd5,1.0,9,9
RescaleToUnit,1.0,18,18
CountDistinctCharacters,1.0,5,5
FixSpaces,1.0,31,31
GetPositive,1.0,7,7
OddCount,1.0,14,14
IsSorted,1.0,26,26
Concatenate,1.0,2,2
Solve,1.0,11,11
SumProduct,1.0,8,8
Modp,1.0,8,8
CountUpTo,1.0,14,14
LargestSmallestIntegers,1.0,21,21
FindClosestElements,1.0,18,18
Fib4,1.0,14,14
SpecialFactorial,1.0,14,14
Intersection,1.0,22,22
ClosestInteger,1.0,9,9
FindMax,1.0,15,15
SortArray,1.0,23,23
GetClosestVowel,1.0,15,15
ParseMusic,1.0,15,15
EvenOddPalindrome,1.0,23,23
Multiply,1.0,13,13
SortEven,1.0,18,18
IsMultiplyPrime,1.0,15,15
FlipCase,1.0,7,7
SameChars,1.0,19,19
AnyInt,1.0,21,21
Pluck,1.0,14,14
CanArrange,1.0,13,13
Fib,1.0,8,8
Simplify,1.0,11,11
MakeAPile,0.81,13,16
WordsString,0.67,4,6
Unique,0.5,2,4
UniqueDigits,1.0,17,17
MaxElement,1.0,5,5
Histogram,1.0,13,13
NumericalLetterGrade,1.0,38,38
MeanAbsoluteDeviation,1.0,10,10
ValidDate,0.94,34,36
TriangleArea,1.0,4,4
Iscube,1.0,17,17
Specialfilter,1.0,11,11
VowelsCount,1.0,27,27
CarRaceCollision,1.0,10,10
AllPrefixes,1.0,7,7
FizzBuzz,1.0,17,17
SortArray1,1.0,20,20
GetMaxTriples,1.0,25,25
Compare,1.0,7,7
RemoveVowels,1.0,16,16
Digits,1.0,11,11
Bf,1.0,16,16
PairsSumToZero,1.0,14,14
TriangleArea1,1.0,26,26
SplitWords,1.0,23,23
CountUpper,1.0,13,13
Factorize,1.0,8,8
PrimeLength,1.0,15,15
