CLASS,mutation_score,killed,total
Add1,1.0,12,12
CycpatternCheck,1.0,17,17
IsPrime,0.87,13,15
TriplesSumToZero,1.0,19,19
Fibfib,1.0,15,15
TotalMatch,0.87,13,15
SelectWords,0.9,18,20
LargestDivisor,0.55,6,11
SumSquares,1.0,4,4
FilterByPrefix,1.0,4,4
SeparateParenGroups,1.0,15,15
FruitDistribution,0.56,9,16
Encrypt,1.0,17,17
Skjkasdkd,0.93,25,27
ByLength,0.69,9,13
RemoveDuplicates,1.0,7,7
GenerateIntegers,1.0,5,5
Monotonic,0.81,26,32
CorrectBracketing,0.47,8,17
WordsInSentence,0.9,18,20
MoveOneBall,1.0,21,21
IsHappy,1.0,21,21
Tri,0.57,13,23
EvenOddCount,0.27,4,15
StringSequence,0.0,0,5
SumToN,1.0,7,7
IsEqualToSumEven,1.0,9,9
CorrectBracketing1,0.47,8,17
XOrY,0.71,10,14
Search,1.0,13,13
HexKey,1.0,14,14
StrongestExtension,0.73,16,22
Solve1,1.0,7,7
F,0.63,12,19
CountNums,1.0,29,29
Maximum1,0.86,24,28
SortedListSum,0.8,8,10
GetOddCollatz,1.0,2,2
Solution,1.0,12,12
RollingMax,1.0,8,8
Digitsum,1.0,12,12
IntToMiniRoman,1.0,5,5
CheckIfLastCharIsALetter,1.0,22,22
OrderByPoints,1.0,4,4
CheckDictCase,1.0,4,4
Eat,1.0,10,10
CircularShift,1.0,17,17
MaxFill,1.0,7,7
StartsOneEnds,1.0,20,20
Median,1.0,15,15
BelowZero,1.0,13,13
IsBored,0.8,8,10
Intersperse,1.0,9,9
Derivative,0.71,5,7
Common,0.78,7,9
StrangeSortList,0.88,15,17
BelowThreshold,1.0,10,10
CompareOne,1.0,4,4
WillItFly,0.91,20,22
SortThird,0.72,13,18
ChooseNum,0.7,7,10
ParseNestedParens,1.0,15,15
MakePalindrome,1.0,11,11
AddElements,1.0,10,10
RightAngleTriangle,1.0,37,37
Minpath,0.84,26,31
IsPalindrome,1.0,15,15
FileNameCheck,1.0,30,30
AntiShuffle,1.0,9,9
Add,1.0,3,3
IsNested,0.9,18,20
LargestPrimeFactor,0.83,10,12
ReverseDelete,1.0,15,15
NextSmallest,1.0,19,19
DoubleTheDifference,1.0,15,15
SmallestChange,1.0,15,15
DecimalToBinary,1.0,10,10
GreatestCommonDivisor,1.0,7,7
MatchParens,0.76,28,37
Encode,1.0,32,32
PrimeFib,0.0,0,0
StringXor,1.0,7,7
Exchange,1.0,23,23
Strlen,1.0,2,2
HasCloseElements,1.0,15,15
IsSimplePower,1.0,2,2
RoundedAvg,0.41,7,17
IncrList,1.0,6,6
HowManyTimes,1.0,7,7
Longest,0.58,7,12
FilterBySubstring,1.0,7,7
GetRow,0.67,8,12
ProdSigns,0.9,19,21
FilterIntegers,1.0,4,4
SortNumbers,0.96,48,50
TruncateNumber,1.0,5,5
SumSquares1,1.0,23,23
Minsubarraysum,0.86,18,21
ChangeBase,0.0,0,0
StringToMd5,1.0,9,9
RescaleToUnit,1.0,18,18
CountDistinctCharacters,1.0,5,5
FixSpaces,1.0,31,31
GetPositive,1.0,7,7
OddCount,0.86,12,14
IsSorted,1.0,26,26
Concatenate,0.0,0,2
Solve,1.0,11,11
SumProduct,0.5,4,8
Modp,0.62,5,8
CountUpTo,1.0,14,14
LargestSmallestIntegers,1.0,21,21
FindClosestElements,0.78,14,18
Fib4,0.44,7,16
SpecialFactorial,1.0,11,11
Intersection,1.0,27,27
ClosestInteger,0.67,6,9
FindMax,1.0,17,17
SortArray,0.53,8,15
GetClosestVowel,1.0,15,15
ParseMusic,1.0,15,15
EvenOddPalindrome,0.0,0,26
Multiply,1.0,13,13
SortEven,0.72,13,18
IsMultiplyPrime,1.0,13,13
FlipCase,1.0,7,7
SameChars,1.0,19,19
AnyInt,1.0,21,21
Pluck,1.0,14,14
CanArrange,1.0,13,13
Fib,0.5,2,4
Simplify,0.0,0,2
MakeAPile,0.77,10,13
WordsString,0.67,4,6
Unique,0.5,2,4
UniqueDigits,0.86,12,14
MaxElement,1.0,5,5
Histogram,0.69,9,13
NumericalLetterGrade,0.05,2,38
MeanAbsoluteDeviation,0.8,8,10
ValidDate,1.0,8,8
TriangleArea,1.0,4,4
Iscube,1.0,17,17
Specialfilter,1.0,11,11
VowelsCount,1.0,27,27
CarRaceCollision,1.0,10,10
AllPrefixes,1.0,7,7
FizzBuzz,0.82,14,17
SortArray1,0.76,13,17
GetMaxTriples,0.0,0,29
Compare,1.0,7,7
RemoveVowels,1.0,16,16
Digits,1.0,11,11
Bf,1.0,16,16
PairsSumToZero,1.0,14,14
TriangleArea1,1.0,26,26
SplitWords,1.0,23,23
CountUpper,1.0,13,13
Factorize,1.0,5,5
PrimeLength,1.0,15,15
