CLASS,mutation_score,killed,total
Solution2549,1.0,3,3
Solution2907,1.0,26,26
Solution2272,0.93,26,28
Solution0418,0.89,16,18
Solution0321,0.7,51,73
Solution1283,1.0,10,10
Solution1040,1.0,35,35
Solution3222,0.6,9,15
Solution3304,0.31,4,13
Solution3398,0.88,30,34
Solution2862,0.85,23,27
Solution1446,1.0,10,10
Solution3467,1.0,12,12
Solution2024,1.0,15,15
Solution3417,0.65,13,20
Solution3194,1.0,13,13
Solution1436,0.67,4,6
Solution1962,0.56,9,16
Solution1897,1.0,10,10
Solution3091,0.29,4,14
Solution1272,1.0,13,13
Solution1954,1.0,5,5
Solution1955,0.91,40,44
Solution1909,0.92,22,24
Solution2243,0.0,0,0
Solution1478,1.0,38,38
Solution2617,0.82,46,56
Solution3235,0.98,107,109
Solution0231,1.0,7,7
Solution2577,0.91,43,47
Solution2744,1.0,12,12
Solution1102,1.0,50,50
Solution2912,1.0,8,8
Solution3219,0.89,31,35
Solution1021,1.0,15,15
Solution2869,1.0,17,17
Solution0035,1.0,8,8
Solution0517,0.87,13,15
Solution2538,0.56,9,16
Solution1901,1.0,19,19
Solution3209,1.0,6,6
Solution3070,1.0,26,26
Solution3287,0.97,57,59
Solution2328,1.0,38,38
Solution2928,1.0,32,32
Solution0748,1.0,28,28
Solution1642,0.92,22,24
Solution1595,1.0,34,34
Solution2404,1.0,11,11
Solution1307,0.79,58,73
Solution2402,0.75,21,28
Solution2093,0.77,23,30
Solution1067,1.0,52,52
Solution0479,1.0,10,10
Solution1392,1.0,31,31
Solution3317,0.55,18,33
Solution0555,1.0,27,27
Solution2397,0.75,18,24
Solution0942,0.54,7,13
NeighborSum,1.0,30,30
Solution0121,1.0,4,4
Solution2047,1.0,32,32
Solution2392,0.86,30,35
Solution0526,0.72,13,18
Solution1728,0.9,98,109
Solution2156,0.87,41,47
Solution3069,1.0,17,17
Solution0548,1.0,38,38
Solution1763,0.88,21,24
Solution2409,0.81,17,21
Solution1207,1.0,3,3
Solution1122,0.65,11,17
Solution0914,1.0,8,8
Solution3154,0.94,29,31
Solution1755,0.8,33,41
Solution1846,1.0,13,13
Solution2470,1.0,20,20
Solution1154,0.0,0,0
Solution0265,0.87,13,15
Solution1001,0.97,62,64
Solution0670,1.0,21,21
Solution1521,0.75,6,8
Solution1899,1.0,12,12
Solution0684,0.88,15,17
Solution0475,1.0,18,18
Solution0005,1.0,27,27
Solution1404,1.0,20,20
Solution0267,0.66,23,35
Solution1035,1.0,22,22
Solution1317,1.0,8,8
Solution0891,1.0,18,18
Solution2513,1.0,36,36
Solution0744,0.8,8,10
Solution0598,1.0,3,3
Solution1345,0.77,17,22
Solution2395,1.0,11,11
Solution0017,0.75,6,8
Solution0941,1.0,25,25
Solution0422,0.89,17,19
Solution3171,0.95,39,41
Solution1466,0.25,3,12
Solution1998,1.0,5,5
Solution2141,1.0,10,10
Solution1851,0.79,27,34
Solution2557,1.0,36,36
Solution2115,0.75,9,12
Solution2503,0.91,32,35
Solution0943,0.96,68,71
Solution3250,0.93,37,40
Solution3082,1.0,25,25
Solution2954,1.0,45,45
Solution1129,0.28,5,18
Solution3274,0.56,5,9
Solution1958,1.0,35,35
Solution0593,1.0,56,56
Solution3386,0.87,13,15
Solution2605,0.44,4,9
Solution2152,0.82,49,60
Solution1967,0.67,4,6
Solution2202,0.91,20,22
Solution1359,0.0,0,0
Solution1400,1.0,18,18
Solution2529,1.0,12,12
Solution2268,0.68,15,22
ATM,0.85,22,26
Solution2206,0.22,2,9
MyCircularDeque,0.85,56,66
Solution2357,1.0,6,6
Solution3264,1.0,3,3
Solution2613,0.95,78,82
Solution1952,1.0,8,8
Solution2259,1.0,12,12
Solution2387,1.0,22,22
Solution1422,1.0,22,22
Solution2459,0.93,27,29
Solution1316,0.93,42,45
Solution0739,1.0,16,16
Solution2734,1.0,17,17
Solution2864,1.0,6,6
Solution1449,1.0,39,39
Bitset,0.08,2,25
Solution0600,0.94,32,34
Solution2457,0.0,0,0
Solution0780,1.0,2,2
Solution0387,1.0,16,16
Solution0283,0.71,5,7
Solution3341,1.0,35,35
Solution1895,0.88,86,98
